provider_id,specialty,region,beneficiary_count,claims_per_beneficiary,avg_allowed_amount,risk_adjustment_score,high_level_code_rate,duplicate_claim_rate,modifier_59_rate,weekend_service_rate,denial_rate,referral_concentration,peer_z_allowed,total_allowed_amount,injected_typology,review_flag
NPI2000000030,Pain Management,South,153,4.79,426.6,1.24,0.065,0.053,0.18,0.07,0.11,0.413,-0.66,387416.42,No injected typology,0
NPI2000000031,Cardiology,Northeast,380,6.24,387.84,1.03,0.233,0.018,0.019,0.12,0.317,0.119,0.27,942883.94,No injected typology,0
NPI2000000032,Internal Medicine,Northeast,74,6.22,279.99,1.2,0.349,0.084,0.173,0.031,0.13,0.285,0.17,154191.33,No injected typology,0
NPI2000000033,Lab,Midwest,76,5.64,525.41,1.0,0.157,0.089,0.057,0.13,0.222,0.149,0.99,225243.84,No injected typology,0
NPI2000000034,Orthopedics,South,320,6.08,239.54,0.95,0.045,0.042,0.165,0.002,0.294,0.113,-0.87,442873.79,No injected typology,0
NPI2000000035,Internal Medicine,South,98,7.73,320.07,0.98,0.628,0.0,0.226,0.111,0.09,0.29,0.72,238462.09,No injected typology,0
NPI2000000036,Home Health,South,86,5.45,589.15,1.22,0.331,0.046,0.065,0.09,0.026,0.248,1.61,337930.22,No injected typology,0
NPI2000000037,Cardiology,South,47,8.11,342.84,0.55,0.115,0.052,0.664,0.045,0.085,0.049,3.36,71910.33,Unbundling/modifier abuse,1
NPI2000000038,Lab,South,95,6.56,166.53,1.13,0.123,0.007,0.148,0.028,0.105,0.161,-0.17,116898.68,No injected typology,0
NPI2000000039,Cardiology,Northeast,235,6.95,545.06,1.26,0.249,0.002,0.088,0.055,0.121,0.027,-1.1,1120242.81,No injected typology,0
NPI2000000040,Internal Medicine,Midwest,287,3.93,203.09,0.58,0.064,0.028,0.058,0.123,0.015,0.153,0.64,132426.22,No injected typology,0
NPI2000000041,Cardiology,Northeast,53,4.99,442.83,1.6,0.677,0.006,0.212,0.027,0.059,0.151,4.91,187826.05,Upcoding,1
NPI2000000042,Orthopedics,Northeast,200,5.87,639.26,0.55,0.23,0.035,0.033,0.073,0.056,0.405,0.28,412591.7,No injected typology,0
NPI2000000043,Pain Management,Midwest,91,4.72,763.06,0.99,0.181,0.012,0.239,0.129,0.05,0.128,0.91,324249.06,No injected typology,0
NPI2000000044,Lab,Northeast,106,7.55,292.45,1.08,0.086,0.017,0.179,0.002,0.147,0.093,0.26,252287.76,No injected typology,0
NPI2000000045,Home Health,Northeast,233,7.56,313.47,1.23,0.142,0.016,0.035,0.002,0.135,0.082,-0.16,679459.68,No injected typology,0
NPI2000000046,Orthopedics,Midwest,145,7.63,492.39,1.02,0.073,0.01,0.061,0.097,0.207,0.233,0.14,554121.39,No injected typology,0
NPI2000000047,Internal Medicine,Northeast,192,5.64,687.77,1.11,0.078,0.022,0.017,0.043,0.16,0.336,0.65,825678.81,No injected typology,0
NPI2000000048,Internal Medicine,West,235,4.04,232.2,0.91,0.071,0.11,0.182,0.033,0.029,0.366,-0.75,199840.67,No injected typology,0
NPI2000000049,Oncology,West,232,2.52,849.4,0.7,0.231,0.044,0.071,0.052,0.031,0.166,1.24,347737.87,No injected typology,0
NPI2000000050,Pain Management,South,197,6.99,609.3,0.94,0.201,0.064,0.247,0.118,0.046,0.191,1.39,784737.47,No injected typology,0
NPI2000000051,Home Health,Midwest,272,5.1,765.0,0.55,0.132,0.013,0.091,0.062,0.064,0.438,1.26,583412.71,No injected typology,0
NPI2000000052,Internal Medicine,South,119,3.39,583.26,1.22,0.417,0.009,0.097,0.059,0.405,0.026,-0.0,286683.14,No injected typology,0
NPI2000000053,Internal Medicine,Northeast,93,5.4,854.74,1.04,0.333,0.014,0.001,0.141,0.165,0.17,0.3,446653.64,No injected typology,0
NPI2000000054,Lab,West,97,8.42,658.24,0.8,0.158,0.011,0.062,0.033,0.04,0.135,-0.81,429745.03,No injected typology,0
NPI2000000055,DME Supplier,South,163,5.86,280.25,1.17,0.087,0.022,0.234,0.028,0.108,0.22,-1.63,312760.8,No injected typology,0
NPI2000000056,Cardiology,Midwest,100,5.59,803.31,0.97,0.453,0.026,0.115,0.061,0.295,0.363,1.24,434742.34,No injected typology,0
NPI2000000057,Cardiology,Midwest,183,7.25,352.17,1.21,0.068,0.051,0.066,0.016,0.209,0.295,-0.83,566689.6,No injected typology,0
NPI2000000058,Internal Medicine,Midwest,147,6.29,139.96,0.96,0.731,0.016,0.008,0.113,0.115,0.269,1.9,124277.26,No injected typology,0
NPI2000000059,Internal Medicine,West,402,5.51,416.49,1.01,0.133,0.015,0.038,0.032,0.132,0.188,0.37,929399.26,No injected typology,0
NPI2000000060,Internal Medicine,South,91,6.97,321.03,1.16,0.195,0.058,0.098,0.131,0.116,0.164,0.28,237220.31,No injected typology,0
NPI2000000061,Lab,Northeast,337,3.88,337.18,0.85,0.269,0.006,0.049,0.058,0.07,0.289,-1.43,374378.98,No injected typology,0
NPI2000000062,Pain Management,Northeast,250,2.62,465.91,0.77,0.064,0.021,0.119,0.053,0.056,0.304,1.17,233574.34,No injected typology,0
NPI2000000063,Internal Medicine,West,650,4.52,209.06,1.24,0.103,0.053,0.125,0.017,0.09,0.107,-1.3,760095.29,No injected typology,0
NPI2000000064,Radiology,Midwest,112,8.34,476.61,1.33,0.753,0.017,0.301,0.027,0.022,0.382,4.09,592953.34,Upcoding,1
NPI2000000065,Internal Medicine,Midwest,230,7.52,199.27,1.09,0.096,0.041,0.036,0.079,0.199,0.338,-1.32,374148.95,No injected typology,0
NPI2000000066,Internal Medicine,South,118,3.23,486.18,0.84,0.298,0.01,0.193,0.076,0.134,0.129,1.13,154733.08,No injected typology,0
NPI2000000067,DME Supplier,Midwest,131,7.36,305.43,1.01,0.598,0.008,0.094,0.032,0.018,0.514,-0.11,297942.34,No injected typology,0
NPI2000000068,Lab,South,197,3.6,385.99,1.07,0.129,0.044,0.089,0.021,0.173,0.414,-0.92,293874.21,No injected typology,0
NPI2000000069,Internal Medicine,South,290,6.26,355.69,0.91,0.146,0.01,0.105,0.007,0.098,0.435,0.4,590080.48,No injected typology,0
NPI2000000070,Lab,Northeast,399,7.05,264.86,1.2,0.457,0.031,0.007,0.058,0.166,0.024,-0.36,897050.61,No injected typology,0
NPI2000000071,Internal Medicine,South,134,4.79,495.8,1.27,0.301,0.038,0.087,0.033,0.065,0.061,0.39,402275.41,No injected typology,0
NPI2000000072,Internal Medicine,West,109,6.56,549.09,1.47,0.583,0.064,0.072,0.038,0.17,0.339,-0.27,578535.7,No injected typology,0
NPI2000000073,Internal Medicine,South,178,3.63,329.06,1.28,0.059,0.067,0.155,0.017,0.017,0.299,-0.9,273039.0,No injected typology,0
NPI2000000074,Cardiology,Midwest,325,8.43,579.93,1.21,0.148,0.386,0.251,0.022,0.197,0.249,1.81,1928425.59,Duplicate billing,1
NPI2000000075,Radiology,Midwest,240,9.18,1544.11,1.07,0.361,0.069,0.034,0.236,0.091,0.122,0.29,3649141.16,No injected typology,0
NPI2000000076,Pain Management,West,251,7.31,458.81,0.94,0.154,0.046,0.106,0.076,0.206,0.334,0.84,795129.27,No injected typology,0
NPI2000000077,Lab,South,295,4.39,508.92,0.9,0.353,0.005,0.058,0.037,0.336,0.184,0.09,596714.3,No injected typology,0
NPI2000000078,Cardiology,Midwest,172,5.45,285.51,0.87,0.267,0.022,0.259,0.004,0.102,0.273,-1.1,233457.28,No injected typology,0
NPI2000000079,Cardiology,South,242,5.18,656.16,0.8,0.108,0.013,0.072,0.002,0.058,0.184,-0.7,657948.81,No injected typology,0
NPI2000000080,Cardiology,Midwest,576,5.99,456.15,1.13,0.038,0.117,0.064,0.066,0.058,0.363,-0.88,1784553.32,No injected typology,0
NPI2000000081,Oncology,West,237,6.79,608.28,0.92,0.189,0.004,0.354,0.167,0.135,0.1,0.46,904967.17,No injected typology,0
NPI2000000082,Oncology,Northeast,115,5.67,321.6,1.0,0.458,0.014,0.118,0.026,0.007,0.206,0.63,208836.75,No injected typology,0
NPI2000000083,Orthopedics,Northeast,135,7.45,526.31,1.02,0.08,0.088,0.175,0.136,0.064,0.077,0.03,541107.45,No injected typology,0
NPI2000000084,Pain Management,West,147,10.3,344.61,0.84,0.105,0.025,0.296,0.699,0.114,0.311,1.07,439274.46,Impossible frequency,1
NPI2000000085,Cardiology,Midwest,203,8.82,345.54,0.93,0.069,0.03,0.092,0.1,0.075,0.252,-0.11,572794.68,No injected typology,0
NPI2000000086,Radiology,Midwest,246,7.47,384.21,1.03,0.123,0.036,0.157,0.03,0.059,0.332,0.26,725710.31,No injected typology,0
NPI2000000087,Internal Medicine,West,67,4.88,435.59,0.96,0.162,0.027,0.071,0.258,0.073,0.187,1.66,136927.33,No injected typology,0
NPI2000000088,Internal Medicine,West,108,7.0,494.83,0.97,0.071,0.012,0.021,0.013,0.161,0.235,0.28,363353.42,No injected typology,0
NPI2000000089,Orthopedics,South,133,3.67,169.97,1.14,0.574,0.012,0.148,0.042,0.21,0.381,-1.56,94096.07,No injected typology,0
NPI2000000090,Cardiology,Northeast,91,5.29,545.03,1.4,0.11,0.041,0.115,0.041,0.188,0.257,1.38,367776.63,No injected typology,0
NPI2000000091,Lab,Midwest,50,9.99,476.78,1.35,0.017,0.009,0.172,0.036,0.091,0.046,0.42,320759.89,No injected typology,0
NPI2000000092,Radiology,Northeast,79,8.01,237.45,1.67,0.172,0.018,0.077,0.144,0.08,0.269,-0.24,250570.12,No injected typology,0
NPI2000000093,DME Supplier,Northeast,312,8.39,623.78,0.93,0.185,0.028,0.119,0.048,0.202,0.078,0.09,1520702.67,No injected typology,0
NPI2000000094,Home Health,Northeast,75,4.52,282.72,1.21,0.41,0.022,0.077,0.028,0.038,0.299,0.05,116024.55,No injected typology,0
NPI2000000095,Home Health,Midwest,433,5.35,308.33,1.26,0.423,0.032,0.034,0.001,0.068,0.32,-0.18,896926.32,No injected typology,0
NPI2000000096,Radiology,South,170,5.32,349.19,0.69,0.357,0.068,0.052,0.051,0.045,0.288,-0.31,217738.64,No injected typology,0
NPI2000000097,Oncology,Northeast,181,7.08,294.8,0.78,0.109,0.021,0.103,0.032,0.237,0.182,0.35,294404.6,No injected typology,0
NPI2000000098,Internal Medicine,Northeast,510,6.18,497.15,0.97,0.215,0.044,0.181,0.019,0.175,0.052,0.17,1511501.39,No injected typology,0
NPI2000000099,Home Health,Northeast,537,5.82,279.03,0.88,0.18,0.078,0.152,0.149,0.174,0.552,-0.14,766181.75,No injected typology,0
NPI2000000100,Internal Medicine,Northeast,81,5.05,260.15,0.9,0.141,0.025,0.163,0.002,0.016,0.116,-0.25,95662.35,No injected typology,0
NPI2000000101,Pain Management,Northeast,307,4.64,660.35,0.98,0.135,0.053,0.023,0.129,0.052,0.553,-0.62,919755.53,No injected typology,0
NPI2000000102,Radiology,Midwest,240,7.28,490.87,0.85,0.325,0.036,0.083,0.08,0.085,0.396,0.47,726964.12,No injected typology,0
NPI2000000103,Lab,Midwest,108,4.35,380.46,0.75,0.322,0.018,0.029,0.001,0.094,0.428,0.07,134426.64,No injected typology,0
NPI2000000104,Radiology,Northeast,136,5.22,538.2,1.02,0.489,0.051,0.853,0.216,0.077,0.392,2.91,389103.32,Unbundling/modifier abuse,1
NPI2000000105,Internal Medicine,Northeast,95,7.58,270.09,1.03,0.332,0.103,0.142,0.058,0.109,0.381,0.04,200262.19,No injected typology,0
NPI2000000106,Orthopedics,Northeast,452,7.2,358.23,0.87,0.226,0.004,0.021,0.056,0.105,0.188,0.61,1012583.5,No injected typology,0
NPI2000000107,Internal Medicine,South,810,6.28,367.83,1.04,0.395,0.437,0.733,0.005,0.299,0.346,3.31,1946957.12,Duplicate billing,1
NPI2000000108,Oncology,Northeast,69,7.77,350.11,1.29,0.164,0.421,0.192,0.046,0.011,0.413,-0.6,243094.39,Duplicate billing,1
NPI2000000109,Internal Medicine,South,103,3.93,221.97,0.77,0.024,0.051,0.095,0.052,0.027,0.433,0.59,68979.1,No injected typology,0
NPI2000000110,Cardiology,West,150,7.15,325.3,1.03,0.266,0.029,0.179,0.132,0.047,0.134,0.91,358978.59,No injected typology,0
NPI2000000111,Orthopedics,Northeast,94,6.74,557.78,0.87,0.05,0.001,0.143,0.005,0.049,0.168,0.02,308734.22,No injected typology,0
NPI2000000112,Internal Medicine,Northeast,316,8.49,197.61,1.18,0.158,0.014,0.069,0.098,0.115,0.268,0.47,625779.24,No injected typology,0
NPI2000000113,Lab,South,192,6.03,210.02,1.23,0.006,0.024,0.111,0.098,0.072,0.346,0.84,300197.65,No injected typology,0
NPI2000000114,Home Health,South,142,4.34,353.67,1.09,0.118,0.02,0.119,0.05,0.055,0.379,1.32,238326.0,No injected typology,0
NPI2000000115,Internal Medicine,Northeast,60,6.62,335.29,1.05,0.076,0.018,0.05,0.005,0.147,0.156,0.42,139711.71,No injected typology,0
NPI2000000116,Pain Management,West,63,3.93,401.54,0.97,0.071,0.025,0.089,0.049,0.186,0.19,2.11,96079.91,No injected typology,0
NPI2000000117,Internal Medicine,Northeast,167,5.24,645.77,1.44,0.143,0.001,0.153,0.043,0.014,0.118,0.96,813658.93,No injected typology,0
NPI2000000118,Home Health,South,51,4.67,395.88,0.55,0.207,0.027,0.032,0.101,0.126,0.118,0.14,51873.76,No injected typology,0
NPI2000000119,Cardiology,Northeast,271,7.74,321.79,1.03,0.059,0.016,0.161,0.003,0.149,0.365,-0.57,694790.47,No injected typology,0
NPI2000000120,Internal Medicine,South,125,7.25,120.08,0.66,0.4,0.02,0.08,0.113,0.212,0.084,0.38,72030.43,No injected typology,0
NPI2000000121,Internal Medicine,Northeast,307,4.55,646.94,1.14,0.065,0.073,0.164,0.112,0.095,0.163,0.86,1035147.23,No injected typology,0
NPI2000000122,DME Supplier,South,200,6.35,260.16,1.01,0.114,0.014,0.017,0.112,0.081,0.539,-1.03,334792.35,No injected typology,0
NPI2000000123,Home Health,South,238,5.68,538.74,1.02,0.243,0.07,0.069,0.035,0.111,0.133,0.12,743492.43,No injected typology,0
NPI2000000124,Orthopedics,Midwest,212,4.47,514.53,1.0,0.367,0.119,0.137,0.001,0.096,0.269,0.17,485681.6,No injected typology,0
NPI2000000125,Home Health,South,111,7.49,644.44,1.24,0.17,0.003,0.065,0.022,0.104,0.226,0.37,664561.01,No injected typology,0
NPI2000000126,Orthopedics,Midwest,115,6.22,328.65,1.37,0.124,0.024,0.02,0.036,0.118,0.374,-1.98,322220.34,No injected typology,0
NPI2000000127,Internal Medicine,Midwest,132,8.57,309.24,0.99,0.174,0.036,0.102,0.095,0.126,0.337,-0.44,345579.81,No injected typology,0
NPI2000000128,Cardiology,South,179,6.55,326.35,0.74,0.358,0.071,0.126,0.003,0.03,0.142,-1.18,283218.76,No injected typology,0
NPI2000000129,Orthopedics,Northeast,267,5.89,786.57,0.75,0.092,0.061,0.216,0.032,0.153,0.128,1.33,926958.17,No injected typology,0
NPI2000000130,Oncology,Northeast,146,5.49,310.07,1.07,0.253,0.002,0.193,0.056,0.158,0.055,-0.34,265723.62,No injected typology,0
NPI2000000131,Internal Medicine,South,374,4.45,305.88,0.86,0.282,0.03,1.0,0.045,0.192,0.304,3.54,437722.7,Unbundling/modifier abuse,1
NPI2000000132,Internal Medicine,South,128,4.96,462.3,1.16,0.386,0.025,0.191,0.042,0.058,0.154,-0.43,340219.44,No injected typology,0
NPI2000000133,DME Supplier,South,83,5.16,240.36,1.68,0.253,0.116,0.096,0.06,0.1,0.569,0.46,172655.57,No injected typology,0
NPI2000000134,Oncology,South,106,6.38,235.47,1.27,0.246,0.053,0.049,0.062,0.114,0.368,0.89,202241.86,No injected typology,0
NPI2000000135,Lab,South,113,7.06,250.8,1.31,0.098,0.024,0.148,0.063,0.049,0.263,-0.58,262574.91,No injected typology,0
NPI2000000136,Radiology,Midwest,393,6.96,411.39,1.16,0.067,0.009,0.051,0.006,0.07,0.137,0.55,1306102.36,No injected typology,0
NPI2000000137,Internal Medicine,West,277,4.87,274.38,0.91,0.161,0.003,0.018,0.002,0.122,0.173,-1.52,335850.06,No injected typology,0
NPI2000000138,Lab,Midwest,213,6.73,213.02,1.07,0.24,0.003,0.081,0.002,0.032,0.183,-1.34,327479.86,No injected typology,0
NPI2000000139,Home Health,Midwest,159,7.11,753.72,1.02,0.22,0.123,0.008,0.067,0.152,0.085,-0.87,865233.63,No injected typology,0
NPI2000000140,Internal Medicine,Midwest,198,10.18,418.01,0.98,0.08,0.049,0.286,0.029,0.06,0.197,-0.66,830125.93,No injected typology,0
NPI2000000141,Pain Management,Northeast,80,7.29,227.39,1.06,0.105,0.053,0.052,0.087,0.095,0.423,-0.43,140791.81,No injected typology,0
NPI2000000142,Internal Medicine,West,733,4.5,192.72,0.98,0.13,0.025,0.032,0.089,0.042,0.106,-0.93,623069.42,No injected typology,0
NPI2000000143,Lab,West,236,5.12,312.71,1.25,0.082,0.065,0.126,0.064,0.103,0.169,-0.06,474500.64,No injected typology,0
NPI2000000144,Radiology,West,313,4.98,246.47,1.06,0.283,0.037,0.344,0.005,0.021,0.427,-1.74,408363.99,No injected typology,0
NPI2000000145,Lab,Midwest,343,7.82,224.44,1.21,0.059,0.11,0.068,0.189,0.159,0.258,0.19,725801.06,No injected typology,0
NPI2000000146,Radiology,West,163,5.22,284.05,0.76,0.073,0.006,0.028,0.013,0.078,0.186,1.65,184204.78,No injected typology,0
NPI2000000147,Cardiology,West,154,8.23,353.32,0.65,0.239,0.015,0.003,0.01,0.22,0.094,0.89,291391.11,No injected typology,0
NPI2000000148,Radiology,Northeast,95,4.61,682.28,0.84,0.332,0.052,0.019,0.006,0.153,0.255,-0.1,250557.61,No injected typology,0
NPI2000000149,Cardiology,South,159,6.36,449.69,1.22,0.281,0.047,0.123,0.136,0.026,0.12,1.93,555349.26,No injected typology,0
NPI2000000150,Internal Medicine,Northeast,150,7.3,606.32,0.84,0.014,0.003,0.096,0.113,0.186,0.06,-0.2,555175.77,No injected typology,0
NPI2000000151,Orthopedics,West,54,6.48,661.51,0.88,0.243,0.486,0.125,0.009,0.062,0.153,-0.18,204372.87,Duplicate billing,1
NPI2000000152,Pain Management,Midwest,194,8.29,482.57,1.01,0.066,0.058,0.08,0.092,0.081,0.224,-0.13,780822.43,No injected typology,0
NPI2000000153,Cardiology,West,80,6.28,516.58,1.12,0.114,0.037,0.077,0.027,0.235,0.196,-0.46,289201.14,No injected typology,0
NPI2000000154,Home Health,South,147,7.12,573.79,0.84,0.074,0.062,0.113,0.124,0.177,0.064,0.31,504970.42,No injected typology,0
NPI2000000155,Home Health,South,656,7.32,466.11,1.2,0.362,0.02,0.047,0.026,0.13,0.092,-1.69,2677825.08,No injected typology,0
NPI2000000156,Cardiology,Midwest,468,8.6,346.49,1.25,0.275,0.323,0.006,0.045,0.125,0.216,-0.11,1738887.88,Duplicate billing,1
NPI2000000157,Home Health,South,68,5.04,105.87,1.14,0.051,0.022,0.059,0.177,0.026,0.062,-0.96,41300.48,No injected typology,0
NPI2000000158,Orthopedics,Northeast,186,4.01,181.22,1.25,0.259,0.01,0.183,0.019,0.294,0.161,0.06,169262.69,No injected typology,0
NPI2000000159,Radiology,Northeast,206,6.61,588.69,0.96,0.077,0.007,0.088,0.001,0.054,0.301,0.35,772307.36,No injected typology,0
NPI2000000160,Cardiology,Midwest,430,5.72,121.71,1.13,0.192,0.047,0.026,0.089,0.025,0.162,0.5,339322.34,No injected typology,0
NPI2000000161,Radiology,South,558,5.97,757.34,0.88,0.973,0.038,0.026,0.101,0.069,0.217,5.26,2209826.79,Upcoding,1
NPI2000000162,Orthopedics,South,169,6.49,208.42,1.32,0.239,0.031,0.252,0.028,0.079,0.091,-0.2,302451.75,No injected typology,0
NPI2000000163,DME Supplier,Northeast,121,6.3,271.11,0.7,0.137,0.031,0.072,0.086,0.118,0.237,2.36,145219.71,No injected typology,0
NPI2000000164,Home Health,West,210,4.88,439.87,1.37,0.119,0.08,0.006,0.026,0.039,0.453,0.38,618444.15,No injected typology,0
NPI2000000165,DME Supplier,Northeast,225,6.48,683.7,0.75,0.047,0.066,0.071,0.021,0.106,0.16,0.8,746788.98,No injected typology,0
NPI2000000166,Cardiology,West,56,6.87,444.55,0.84,0.19,0.009,0.258,0.004,0.05,0.437,-0.64,144194.87,No injected typology,0
NPI2000000167,Oncology,South,200,6.79,456.16,0.86,0.347,0.054,0.091,0.04,0.044,0.163,1.33,530279.0,No injected typology,0
NPI2000000168,Internal Medicine,West,130,3.36,209.81,1.12,0.064,0.013,0.018,0.041,0.078,0.228,0.68,102558.2,No injected typology,0
NPI2000000169,Orthopedics,Northeast,454,6.58,286.31,1.12,0.104,0.005,0.203,0.057,0.001,0.129,-0.35,957161.88,No injected typology,0
NPI2000000170,DME Supplier,South,242,3.88,486.57,0.86,0.03,0.069,0.048,0.006,0.08,0.116,-1.68,394014.3,No injected typology,0
NPI2000000171,Internal Medicine,South,194,6.9,273.26,1.03,0.216,0.077,0.137,0.048,0.263,0.031,0.08,376364.35,No injected typology,0
NPI2000000172,Internal Medicine,Northeast,275,4.6,395.85,1.01,0.294,0.046,0.173,0.136,0.042,0.481,-1.68,508484.79,No injected typology,0
NPI2000000173,Radiology,South,151,5.23,186.62,1.05,0.131,0.004,0.167,0.062,0.122,0.378,-0.76,155004.52,No injected typology,0
NPI2000000174,Radiology,South,183,8.45,263.28,0.89,0.167,0.044,0.147,0.159,0.207,0.056,-0.24,361027.22,No injected typology,0
NPI2000000175,Home Health,West,205,6.92,670.3,1.45,0.286,0.011,0.396,0.019,0.012,0.551,1.02,1380880.87,No injected typology,0
NPI2000000176,Lab,West,56,6.89,352.5,1.08,0.052,0.008,0.164,0.073,0.314,0.226,0.63,147187.84,No injected typology,0
NPI2000000177,Radiology,Midwest,282,6.8,143.6,1.05,0.075,0.012,0.064,0.01,0.014,0.25,-0.15,289568.74,No injected typology,0
NPI2000000178,Cardiology,Midwest,306,5.86,234.94,0.87,0.264,0.008,0.175,0.0,0.047,0.249,-0.16,366945.0,No injected typology,0
NPI2000000179,Home Health,Midwest,260,8.05,159.74,1.07,0.039,0.003,0.095,0.033,0.167,0.079,0.9,358995.38,No injected typology,0
NPI2000000180,Orthopedics,South,323,5.81,408.17,0.96,0.12,0.035,0.046,0.134,0.059,0.149,-1.17,739403.63,No injected typology,0
NPI2000000181,Radiology,West,82,5.81,230.32,0.77,0.271,0.016,0.183,0.091,0.081,0.411,-0.69,84107.3,No injected typology,0
NPI2000000182,Orthopedics,West,189,7.71,148.59,1.15,0.318,0.028,0.15,0.006,0.097,0.176,-0.9,248648.73,No injected typology,0
NPI2000000183,Internal Medicine,Northeast,149,5.45,473.39,0.81,0.286,0.053,0.293,0.004,0.105,0.478,-1.59,312770.2,No injected typology,0
NPI2000000184,Lab,South,144,6.66,255.42,1.1,0.133,0.036,0.081,0.029,0.037,0.319,-0.67,269565.47,No injected typology,0
NPI2000000185,Home Health,Northeast,80,7.42,145.46,0.85,0.137,0.022,0.197,0.075,0.153,0.081,0.21,73671.15,No injected typology,0
