type,amount,oldbalanceOrg,oldbalanceDest,newbalanceOrig,newbalanceDest,isFraud,balance_change_orig,balance_change_dest,amount_to_balance_ratio,dest_to_amount_ratio,dest_unchanged,origin_near_zero,origin_significant_drop,is_cash_out,is_transfer,high_value,medium_value
TRANSFER,1744.7229633703248,14543.693218131317,410.1543589159399,12798.970254760992,2154.8773222862646,0.0,-1744.7229633703246,1744.7229633703248,0.11995598237818897,0.9994271714235405,0,0,0,0,1,0,0
PAYMENT,1227.933739529803,3932.0724867893305,74.79528183107539,2704.1387472595275,1302.7290213608785,0.0,-1227.933739529803,1227.933739529803,0.3122072485707471,0.9991862864792185,0,0,0,0,0,0,0
CASH_IN,819.0113944320858,10162.56621856985,1923.747657618095,10981.577613001935,2742.759052050181,0.0,819.0113944320856,819.0113944320858,0.08058307259667087,0.9987805047505558,0,0,0,0,0,0,0
CASH_OUT,144.74000792120432,271024.7265145288,5969.637747898491,270879.9865066076,5824.897739977287,0.0,-144.74000792118022,-144.74000792120478,0.0005340452723164098,-0.9931384661338827,0,0,0,1,0,0,0
TRANSFER,1225.3598998207883,9173.650840343606,1610.5747669764291,7948.290940522817,2835.9346667972177,0.0,-1225.359899820788,1225.3598998207885,0.13355929518674703,0.9991845786867738,0,0,0,0,1,0,0
CASH_IN,141.64665996821344,360.8585951389034,960.346235978848,502.50525510711685,1101.9928959470615,0.0,141.64665996821344,141.6466599682135,0.3914420214720637,0.9929896711200754,0,0,0,0,0,0,0
CASH_OUT,19.900557131159676,172.36636265144858,1157.6526833611738,152.4658055202889,1137.752126230014,0.0,-19.900557131159673,-19.900557131159758,0.11478903304425643,-0.9521543854680762,1,1,0,1,0,0,0
CASH_IN,3089.2222375445235,18862.986984160518,902678.297212853,21952.20922170504,905767.5194503975,0.0,3089.2222375445235,3089.2222375444835,0.16376295425449794,0.9996763986784217,0,0,0,0,0,0,0
CASH_IN,43.822164447562514,8999.749821929456,80.50770997819444,9043.57198637702,124.32987442575696,0.0,43.82216444756341,43.822164447562514,0.004868723752413833,0.9776896093188472,1,0,0,0,0,0,0
PAYMENT,22.809622228935993,40687.382819270344,42071.65754614915,40664.573197041405,42094.46716837809,0.0,-22.80962222893868,22.80962222893868,0.0005605929911309518,0.9580001736112382,1,0,0,0,0,0,0
CASH_OUT,298.1236781009759,427.9152902463131,983.552402711237,129.79161214533718,685.4287246102612,0.0,-298.1236781009759,-298.1236781009759,0.695064235014267,-0.9966569012311275,0,1,0,1,0,0,0
PAYMENT,115.15369597380895,422.6529147682393,1253.9279573839724,307.49921879443036,1369.0816533577813,0.0,-115.15369597380896,115.15369597380891,0.2718114096696447,0.9913907173455287,0,1,0,0,0,0,0
PAYMENT,65.23059809877388,185264.70133280347,636.712652828222,185199.4707347047,701.9432509269958,0.0,-65.23059809877304,65.23059809877384,0.0003520921445767039,0.9849012385708992,1,0,0,0,0,0,0
PAYMENT,4656.430633983172,4085.8445526856235,64643.61528270147,0.0,69300.04591668464,0.0,-4085.8445526856235,4656.430633983175,1.1393706254188825,0.9997852893411443,0,1,1,0,0,0,0
CASH_OUT,249.54596190282584,141228.38096750624,256.30204197409046,140978.8350056034,6.75608007126462,0.0,-249.5459619028261,-249.54596190282584,0.0017669550074728491,-0.9960087163552536,0,0,0,1,0,0,0
TRANSFER,3498.04498319459,44.04639196711725,3133430.119804781,0.0,3136928.1647879756,0.0,-44.04639196711725,3498.0449831946753,77.65427663436566,0.9997142077324763,0,1,1,0,1,0,0
PAYMENT,4.950762216818575,116672.75406732771,17046.918354818805,116667.8033051109,17051.869117035625,0.0,-4.950762216816656,4.950762216820294,4.243252697570432e-05,0.8319543003798755,1,0,0,0,0,0,0
CASH_OUT,57.54469626666686,5834.798331563966,37.81085380545853,5777.253635297299,0.0,0.0,-57.544696266666506,-37.81085380545853,0.009860638253283361,-0.6458459299751564,1,0,0,1,0,0,0
PAYMENT,22.867550814506902,5742.57878583081,307.82207568661505,5719.711235016303,330.68962650112195,0.0,-22.867550814507013,22.8675508145069,0.0039814115322872,0.9581021107791171,1,0,0,0,0,0,0
CASH_IN,224.52802691324482,923.5145350982169,5493.18318290776,1148.0425620114618,5717.711209821005,0.0,224.52802691324484,224.5280269132445,0.24286046177672244,0.9955659612967528,0,0,0,0,0,0,0
TRANSFER,84.46128317878939,86.51921194964356,414.46123972968553,2.0579287708541756,498.9225229084749,0.0,-84.46128317878939,84.46128317878936,0.9650599142435876,0.9882987949302379,1,1,1,0,1,0,0
CASH_OUT,4893.193437513915,431.43731389192976,19373.434334974874,0.0,14480.240897460959,0.0,-431.43731389192976,-4893.193437513915,11.315382091973616,-0.999795676241087,0,1,1,1,0,0,0
PAYMENT,264.7726369132705,2444.5571818387966,1373.2079748838246,2179.784544925526,1637.9806117970952,0.0,-264.7726369132706,264.7726369132706,0.10826679452826773,0.9962373854147889,0,0,0,0,0,0,0
PAYMENT,226.8287554215283,2004.8662935541236,2004.169900869058,1778.0375381325953,2230.9986562905865,0.0,-226.82875542152829,226.8287554215285,0.11308268958426858,0.9956107384331289,0,0,0,0,0,0,0
PAYMENT,712.367846392898,1527.1864045342954,315.79519145946796,814.8185581413975,1028.163037852366,0.0,-712.367846392898,712.367846392898,0.46615245645375786,0.9985981986641864,0,0,0,0,0,0,0
CASH_IN,17.447391355352142,8563.359497145839,3239.2426471330937,8580.80688850119,3256.6900384884457,0.0,17.44739135535201,17.44739135535201,0.0020372091294353846,0.9457917934987593,1,0,0,0,0,0,0
PAYMENT,924.2544507066793,2931.8799094937317,305.4746587959717,2007.6254587870524,1229.729109502651,0.0,-924.2544507066793,924.2544507066793,0.31513545703486456,0.9989192162229145,0,0,0,0,0,0,0
PAYMENT,474.8349932271519,65013.872496381475,18.699339870176743,64539.03750315432,493.53433309732867,0.0,-474.83499322715215,474.8349932271519,0.0073034826493519585,0.9978984311489622,0,0,0,0,0,0,0
CASH_OUT,8500.587489206075,188.4493375915506,724.6797628741565,0.0,0.0,0.0,-188.4493375915506,-724.6797628741565,44.86997736319981,-0.08524052287813733,0,1,1,1,0,0,0
CASH_IN,468.7972293176357,37963.445521455804,65303.24560592596,38432.24275077344,65772.0428352436,0.0,468.79722931763536,468.79722931764263,0.012348322828860822,0.9978714220996034,0,0,0,0,0,0,0
PAYMENT,19281.281073129714,50.23696740044029,476.1289417785033,0.0,19757.41001490822,0.0,-50.23696740044029,19281.281073129714,376.3158135889991,0.9999481389159194,0,1,1,0,0,0,0
TRANSFER,96.96751098398366,1209.5443654650148,80444.56655376795,1112.5768544810312,80541.53406475193,0.0,-96.96751098398363,96.96751098398818,0.08010240165525437,0.989792534382557,1,0,0,0,1,0,0
CASH_OUT,10507.545444652587,15948.28575010047,173035.0340606541,5440.740305447882,162527.48861600153,0.0,-10507.545444652587,-10507.545444652584,0.6588097805311688,-0.9999048393514335,0,0,0,1,0,0,0
CASH_OUT,380.4178495579017,268945.6445288663,169.04497107141913,268565.2266793084,0.0,0.0,-380.4178495578817,-169.04497107141913,0.0014144733064965647,-0.44320152102833615,0,0,0,1,0,0,0
CASH_OUT,81.73455707642513,5653.205945714082,2468.3905873221556,5571.471388637657,2386.6560302457306,0.0,-81.73455707642552,-81.73455707642506,0.014455532370266838,-0.9879131521901262,1,0,0,1,0,0,0
CASH_IN,17.826445903498048,23735.576625424044,215.75022740979784,23753.403071327542,233.57667331329588,0.0,17.826445903498097,17.82644590349804,0.0007510116637630169,0.9468832298392442,1,0,0,0,0,0,0
PAYMENT,820.4850688530662,25392.97887068407,227.0753561413081,24572.493801831002,1047.5604249943742,0.0,-820.4850688530678,820.4850688530661,0.03231022097920505,0.9987826924214261,0,0,0,0,0,0,0
DEBIT,20.37057372395711,507.17478248491153,221374.9017157524,486.8042087609544,221354.53114202846,0.0,-20.370573723957136,-20.370573723950656,0.04008576266682801,-0.9532066844379838,1,1,0,0,0,0,0
CASH_IN,19.692795256679766,9004.305920796845,1811.9919637113235,9023.998716053526,1831.6847589680033,0.0,19.692795256680256,19.6927952566798,0.0021867991415151417,0.9516740011392536,1,0,0,0,0,0,0
CASH_OUT,878.5255682048704,385.2445835556462,1613.2222140618787,0.0,734.6966458570083,0.0,-385.2445835556462,-878.5255682048704,2.2745317490731916,-0.9988630233888015,0,1,1,1,0,0,0
PAYMENT,84.67511387896049,93.51945531293532,516.2779157771055,8.844341433974833,600.953029656066,0.0,-84.67511387896049,84.67511387896047,0.8958485170975419,0.9883279991735665,1,1,1,0,0,0,0
CASH_OUT,442.106518021889,45.80542046450574,977.4542105866716,0.0,535.3476925647826,0.0,-45.80542046450574,-442.106518021889,9.445626460233479,-0.9977432062961651,0,1,1,1,0,0,0
TRANSFER,3975.039340050535,1143.526243197326,17550.812768421405,0.0,21525.85210847194,0.0,-1143.526243197326,3975.0393400505345,3.473087108029907,0.9997484934341752,0,1,1,0,1,0,0
CASH_IN,38.95703424104617,11.195885003873116,875.0765818883572,50.15291924491929,914.0336161294033,0.0,38.95703424104617,38.95703424104613,3.1942769408431095,0.9749731175250043,1,1,0,0,0,0,0
PAYMENT,148.8234726244467,174.69696281289367,77.93381078700084,25.873490188446965,226.75728341144753,0.0,-148.8234726244467,148.8234726244467,0.847046358922746,0.993325478428159,0,1,1,0,0,0,0
PAYMENT,107.91143583042434,8539.680699835415,588.6323713511242,8431.76926400499,696.5438071815486,0.0,-107.91143583042503,107.91143583042435,0.012634992411378155,0.9908182277427965,0,0,0,0,0,0,0
CASH_OUT,45.37442034410226,52.62919352059983,1455.89788317061,7.254773176497565,1410.5234628265077,0.0,-45.37442034410226,-45.37442034410219,0.8460768727889452,-0.9784363881514856,1,1,1,1,0,0,0
PAYMENT,22.66415475118798,21983.22268808726,667.6416961305786,21960.558533336072,690.3058508817666,0.0,-22.664154751186288,22.664154751187993,0.0010309281830314229,0.9577419937236599,1,0,0,0,0,0,0
CASH_OUT,321.21686498241866,1046.9541723249995,18053.66523666042,725.7373073425808,17732.448371678,0.0,-321.21686498241866,-321.2168649824198,0.30651804579370523,-0.9968965001256113,0,0,0,1,0,0,0
TRANSFER,1203.158934336883,7540.684922754998,11546.545396274723,6337.525988418115,12749.704330611607,0.0,-1203.1589343368832,1203.1589343368832,0.15953450013625944,0.999169544840399,0,0,0,0,1,0,0
PAYMENT,2.0877060571335178,1346.9461111661146,806.8691175211067,1344.858405108981,808.9568235782402,0.0,-2.0877060571335733,2.0877060571335733,0.0015488052822285553,0.6761349748012291,1,0,0,0,0,0,0
CASH_OUT,7479.320087682306,567.1145369475483,2470.638325761061,0.0,0.0,0.0,-567.1145369475483,-2470.638325761061,13.165162306650922,-0.3302851076960479,0,1,1,1,0,0,0
PAYMENT,352.201928619131,158.67654290821793,13360.806569683808,0.0,13713.00849830294,0.0,-158.67654290821793,352.20192861913165,2.20572115480717,0.9971687583816177,0,1,1,0,0,0,0
CASH_OUT,35017.31024695132,1962.062471849131,119.36449824093773,214.7331653854869,0.0,0.0,-1747.3293064636441,-119.36449824093773,17.83810283631286,-0.003408631010439162,0,1,1,1,0,0,0
CASH_OUT,143.11590009482015,5218.585298859364,7678.23564274772,5075.469398764544,7535.1197426529,0.0,-143.11590009482006,-143.11590009482006,0.027419017393219967,-0.9930611403783889,0,0,0,1,0,0,0
CASH_OUT,3408.089024245176,34402.090549197696,1606.4341606350556,30994.00152495252,0.0,0.0,-3408.089024245175,-1606.4341606350556,0.09906345534194035,-0.4712209476520621,0,0,0,1,0,0,0
CASH_OUT,1336.5334005855516,7059.061257643015,18279.438932097615,5722.527857057463,16942.905531512064,0.0,-1336.533400585552,-1336.5334005855511,0.18930903738811894,-0.9992523551190852,0,0,0,1,0,0,0
CASH_IN,2796.5527920716304,1217.2894361099798,1008.5480503347678,4013.84222818161,3805.1008424063984,0.0,2796.5527920716304,2796.5527920716304,2.295474875823494,0.9996425447259355,0,0,0,0,0,0,0
CASH_OUT,387.1533170646296,2.6854506272096867,294.4293422115744,0.0,0.0,0.0,-2.6854506272096867,-294.4293422115744,105.04911236804428,-0.758538776476694,0,1,1,1,0,0,0
CASH_OUT,998.8460509267122,11535.903777317271,12059.157510669338,10537.05772639056,11060.311459742627,0.0,-998.8460509267115,-998.8460509267115,0.08657834634024991,-0.998999846027222,0,0,0,1,0,0,0
PAYMENT,1149.670861919346,52047.030460970665,69.12641031380335,50897.35959905132,1218.7972722331492,0.0,-1149.670861919345,1149.670861919346,0.022088652572193897,0.9991309417548542,0,0,0,0,0,0,0
CASH_IN,1137.260706130351,402.781919266099,124.98091138495838,1540.0426253964501,1262.2416175153094,0.0,1137.260706130351,1137.260706130351,2.8165221171799852,0.9991214666423832,0,0,0,0,0,0,0
CASH_OUT,793.7644289054501,71.55254582132049,31145.741132275398,0.0,30351.976703369946,0.0,-71.55254582132049,-793.7644289054515,10.940545502845639,-0.998741765529975,0,1,1,1,0,0,0
TRANSFER,141.1470491265198,103163.04821264063,282.35592396830737,103021.9011635141,423.50297309482715,0.0,-141.14704912652087,141.1470491265198,0.0013681805975235578,0.9929650315912648,0,0,0,0,1,0,0
CASH_OUT,225.5488712394683,1.4553187227214974,98053.46104980417,0.0,97827.9121785647,0.0,-1.4553187227214974,-225.54887123947265,91.8613413208807,-0.995585941370952,0,1,0,1,0,0,0
CASH_OUT,97234.43937539586,108.31824230205179,12849.07561177354,0.0,0.0,0.0,-108.31824230205179,-12849.07561177354,889.4621549689047,-0.13214395589006644,0,1,1,1,0,0,1
PAYMENT,7.753129694929226,219.97884352119036,23268.09989561301,212.22571382626114,23275.85302530794,0.0,-7.753129694929214,7.753129694930976,0.03508539356703509,0.8857551487466753,1,1,0,0,0,0,0
CASH_OUT,23.62768716676807,22267.446796746048,2531.315378701192,22243.81910957928,2507.6876915344237,0.0,-23.627687166768737,-23.627687166768283,0.0010610388493830938,-0.9593952938727774,1,0,0,1,0,0,0
CASH_IN,453.081335085574,1141.3419966432366,15285.647024118769,1594.4233317288106,15738.728359204342,0.0,453.081335085574,453.0813350855733,0.39662494806016946,0.9977977513658159,0,0,0,0,0,0,0
CASH_OUT,699.2128387756388,356300.1660446273,41104.93520994513,355600.95320585166,40405.72237116949,0.0,-699.2128387756529,-699.2128387756384,0.0019624208546318964,-0.9985718628042454,0,0,0,1,0,0,0
TRANSFER,978.5483482655638,13337.046999564785,4.937617478277256,12358.498651299222,983.4859657438411,0.0,-978.5483482655636,978.5483482655638,0.07336518969362557,0.9989791213452908,0,0,0,0,1,0,0
CASH_OUT,935.79438821315,581.974129325678,180.94459930910406,0.0,0.0,0.0,-581.974129325678,-180.94459930910406,1.6052074031065096,-0.19315294966085292,0,1,1,1,0,0,0
CASH_IN,1433.1559327862826,3523.9675640413543,288.68596154992713,4957.123496827637,1721.8418943362099,0.0,1433.1559327862824,1433.1559327862828,0.4065728001034931,0.9993027257516852,0,0,0,0,0,0,0
CASH_OUT,6680.700947738074,94.8581595941783,1180.0010142243505,0.0,0.0,0.0,-94.8581595941783,-1180.0010142243505,69.69360747192782,-0.17660188976637914,0,1,1,1,0,0,0
PAYMENT,6541.126669261176,595.4983771288955,29638.570683715683,0.0,36179.69735297686,0.0,-595.4983771288955,6541.126669261175,10.965875046878333,0.9998471445065868,0,1,1,0,0,0,0
CASH_OUT,287.2368806952249,4291.0902433856545,251.79933618726898,4003.8533626904295,0.0,0.0,-287.23688069522495,-251.79933618726898,0.06692237683908735,-0.8735847251050286,0,0,0,1,0,0,0
PAYMENT,36.53278286223777,1021.7809350476502,16260.902482544621,985.2481521854124,16297.435265406859,0.0,-36.53278286223781,36.53278286223758,0.03571906906979621,0.9733566252289196,1,0,0,0,0,0,0
CASH_OUT,52.599459051523596,148.1518987890586,2358.279127654896,95.55243973753501,2305.679668603372,0.0,-52.599459051523596,-52.59945905152381,0.3526569857881163,-0.9813430952905977,1,1,0,1,0,0,0
PAYMENT,114.63537765454889,3104.876850003712,666.0246100096122,2990.2414723491634,780.659987664161,0.0,-114.63537765454885,114.63537765454885,0.03690918320036156,0.9913521275211513,0,0,0,0,0,0,0
PAYMENT,1962.454320105881,302.86480533931586,2721.127437970506,0.0,4683.581758076387,0.0,-302.86480533931586,1962.454320105881,6.458313979187134,0.9994906935242852,0,1,1,0,0,0,0
CASH_OUT,12.501897681659614,1770.3222410957085,277.5627706625884,1757.820343414049,265.06087298092876,0.0,-12.501897681659557,-12.501897681659614,0.007057946539375107,-0.9259363369818484,1,0,0,1,0,0,0
PAYMENT,788.8752650731351,7747.960561407113,639.4674286384941,6959.0852963339785,1428.3426937116292,0.0,-788.8752650731349,788.8752650731351,0.10180401085044177,0.9987339773199413,0,0,0,0,0,0,0
PAYMENT,28.395421913658254,2795.4596965502587,4092.2271241898925,2767.0642746366007,4120.622546103551,0.0,-28.395421913658083,28.395421913658538,0.010154060846536474,0.9659810972287804,1,0,0,0,0,0,0
CASH_IN,4259.915750024543,349.0257672461883,36.986300538683224,4608.941517270731,4296.902050563226,0.0,4259.915750024543,4259.915750024543,12.170291871764856,0.9997653086663367,0,0,0,0,0,0,0
CASH_OUT,453.72537941817023,1215.4425052588977,200.08515165273818,761.7171258407275,0.0,0.0,-453.7253794181702,-200.08515165273818,0.3729936905826906,-0.4400131611495952,0,0,0,1,0,0,0
CASH_OUT,9163.898137854509,13.056294204202997,193.1557508765434,0.0,0.0,0.0,-13.056294204202997,-193.1557508765434,651.9426816717023,-0.021075602584030566,0,1,1,1,0,0,0
CASH_IN,3339.3013413377066,2224.083602804178,2438.895606821455,5563.384944141884,5778.196948159162,0.0,3339.301341337706,3339.301341337707,1.5007532018704048,0.9997006258125205,0,0,0,0,0,0,0
CASH_IN,53.61423064382662,48572.677554102054,39211.702625056605,48626.29178474588,39265.31685570043,0.0,53.614230643826886,53.614230643826886,0.0011037712881449078,0.9816897539668487,1,0,0,0,0,0,0
CASH_OUT,2791.5364101535706,10759.189150122895,20.50476147551842,7967.652739969324,0.0,0.0,-2791.5364101535706,-20.50476147551842,0.2594319087896041,-0.007342701567279045,1,0,0,1,0,0,0
PAYMENT,34.489955764349205,485.89984742815903,20618.01270093341,451.40989166380984,20652.502656697758,0.0,-34.48995576434919,34.48995576434754,0.07083583194065,0.9718230136255567,1,1,0,0,0,0,0
CASH_OUT,523.4275731509117,359.3261068334665,622062.6699092933,0.0,621539.2423361423,0.0,-359.3261068334665,-523.4275731509551,1.4526495949759937,-0.998093158996297,0,1,1,1,0,0,0
CASH_OUT,219.44349392629576,4282.675589464836,7531.04165096152,4063.2320955385403,7311.598157035224,0.0,-219.44349392629556,-219.44349392629556,0.051227850789165634,-0.9954636901176382,0,0,0,1,0,0,0
CASH_OUT,1190.2611570945162,175503.1114955213,225276.24033243654,174312.85033842677,224085.979175342,0.0,-1190.26115709453,-1190.26115709453,0.00678195597215334,-0.9991605535074902,0,0,0,1,0,0,0
PAYMENT,861.6529320373187,470.55878446121284,808.1897329473638,0.0,1669.8426649846824,0.0,-470.55878446121284,861.6529320373186,1.8272439416473054,0.9988407852534177,0,1,1,0,0,0,0
CASH_OUT,586.9524263040541,4315.0953130592625,1179.327352973322,3728.1428867552086,592.3749266692678,0.0,-586.9524263040539,-586.9524263040541,0.13599153487832047,-0.9982991821187198,0,0,0,1,0,0,0
PAYMENT,56.14284570425085,346.36626013345773,1004.6600381874971,290.22341442920685,1060.802883891748,0.0,-56.142845704250874,56.14284570425093,0.16162434913131987,0.9824999964969275,1,1,0,0,0,0,0
CASH_OUT,45.057240806888615,524.2218038570401,58673.76816972416,479.16456305015146,58628.710928917266,0.0,-45.057240806888615,-45.05724080689106,0.08578707219693554,-0.9782878873662795,1,1,0,1,0,0,0
CASH_OUT,268.4667114342063,42371.34190085511,2378.0166347398686,42102.875189420905,2109.549923305662,0.0,-268.46671143420826,-268.46671143420645,0.006335895053013068,-0.9962889664750149,0,0,0,1,0,0,0
PAYMENT,6950.887640072136,2.00784885607676,1547.3502846182616,0.0,8498.237924690397,0.0,-2.00784885607676,6950.887640072135,2310.9165296086107,0.9998561541768546,0,1,0,0,0,0,0
CASH_OUT,203.79359515096823,1031.8315377864983,143149.5435361462,828.03794263553,142945.74994099524,0.0,-203.79359515096826,-203.79359515095712,0.1973154262772865,-0.9951170347916695,0,0,0,1,0,0,0
CASH_OUT,562.6065985949848,7696.9582191660475,99.19592307355737,7134.351620571063,0.0,0.0,-562.6065985949845,-99.19592307355737,0.07308517175297613,-0.17600206122647064,1,0,0,1,0,0,0
CASH_IN,5500.1345153312395,134.83741813442842,160.13494740548603,5634.971933465668,5660.2694627367255,0.0,5500.1345153312395,5500.1345153312395,40.49057020421395,0.9998182193150862,0,0,0,0,0,0,0
CASH_IN,5.619835512189613,1.8428584572725502,3350.3911202189115,7.462693969462163,3356.010955731101,0.0,5.619835512189613,5.619835512189638,1.9768256480772193,0.8489388447554932,1,1,0,0,0,0,0
PAYMENT,390.60591107269744,1017.2153240375394,18529.65688397626,626.609412964842,18920.262795048955,0.0,-390.6059110726974,390.6059110726965,0.3836181815883736,0.9974464123964275,0,0,0,0,0,0,0
PAYMENT,1269.6500065880803,48882.64505100571,222805.09346403772,47612.99504441763,224074.7434706258,0.0,-1269.6500065880828,1269.6500065880828,0.025972899632654523,0.9992130012239305,0,0,0,0,0,0,0
TRANSFER,542.7002090821783,1490.5627808511513,3230.0579823202993,947.862571768973,3772.7581914024777,0.0,-542.7002090821783,542.7002090821784,0.36384670900174226,0.9981607511211225,0,0,0,0,1,0,0
CASH_OUT,378.9879451991721,4910.463846218263,10319.714546496032,4531.475901019091,9940.72660129686,0.0,-378.9879451991719,-378.9879451991728,0.07716394888888083,-0.9973683375679849,0,0,0,1,0,0,0
CASH_IN,484.69567409763096,1381.8725133146786,1.333735298673443,1866.5681874123095,486.0294093963044,0.0,484.6956740976309,484.69567409763096,0.35049917431350114,0.9979410975774946,0,0,0,0,0,0,0
CASH_OUT,16.87460886558636,269.6644685878855,35849.68055136038,252.78985972229913,35832.80594249479,0.0,-16.874608865586367,-16.874608865589835,0.06234512033893776,-0.9440547198813505,1,1,0,1,0,0,0
CASH_IN,15.449949917650098,1229.0910094432438,2649.9715907735194,1244.540959360894,2665.4215406911694,0.0,15.449949917650201,15.449949917649974,0.012560005559786149,0.9392095413660094,1,0,0,0,0,0,0
PAYMENT,557.3728065187238,459.9350587819619,13188.15102233893,0.0,13745.523828857655,0.0,-459.9350587819619,557.3728065187242,1.2092219845277168,0.9982090818386479,0,1,1,0,0,0,0
TRANSFER,32.70631820137115,88804.06603172873,740.9743676590023,88771.35971352736,773.6806858603734,0.0,-32.70631820136623,32.70631820137112,0.0003682933830563863,0.9703319717678525,1,0,0,0,1,0,0
PAYMENT,12.86333942720043,3950.0408390888324,181910.488155981,3937.177499661632,181923.3514954082,0.0,-12.863339427200572,12.863339427189203,0.003255683742860755,0.9278673074938073,1,0,0,0,0,0,0
TRANSFER,6228.114345024539,31417.22397407846,3.0134667986700006,25189.10962905392,6231.127811823209,0.0,-6228.11434502454,6228.114345024539,0.19823254013858427,0.9998394635345234,0,0,0,0,1,0,0
CASH_IN,12.383187719665168,1129.815979540763,4622.611999699052,1142.199167260428,4634.995187418717,0.0,12.383187719665102,12.38318771966533,0.010950665664181822,0.9252793862757791,1,0,0,0,0,0,0
CASH_OUT,892.1043929507898,49744.90446176831,91298.39285533331,48852.80006881752,90406.28846238252,0.0,-892.1043929507869,-892.1043929507869,0.017933222897503195,-0.9988803100646511,0,0,0,1,0,0,0
CASH_OUT,12.11123452484253,65.98851622631152,222315.2034591135,53.87728170146899,222303.09222458865,0.0,-12.11123452484253,-12.111234524840256,0.18079568270965107,-0.9237295314863354,1,1,0,1,0,0,0
CASH_IN,5685.421828019438,33307.26667827464,7101.8526879003275,38992.68850629408,12787.274515919766,0.0,5685.42182801944,5685.421828019438,0.17069101442398868,0.9998241424870957,0,0,0,0,0,0,0
CASH_IN,677.5927293822515,9989.762544076762,55.71529886381695,10667.355273459014,733.3080282460685,0.0,677.5927293822515,677.5927293822515,0.06782192314078937,0.9985263620479542,0,0,0,0,0,0,0
PAYMENT,842.799466725925,187.27512460923887,153587.71491391424,0.0,154430.51438064018,0.0,-187.27512460923887,842.7994667259336,4.476424957758694,0.998814884294877,0,1,1,0,0,0,0
PAYMENT,25399.317344417035,3.6341761861823234,4394.342697168429,0.0,29793.660041585463,0.0,-3.6341761861823234,25399.31734441703,5480.870023921388,0.9999606304131384,0,1,1,0,0,0,0
CASH_OUT,5222.079267379119,240.81713363347603,737829.3308766482,0.0,732607.2516092691,0.0,-240.81713363347603,-5222.079267379129,21.595158245876252,-0.9998085420594255,0,1,1,1,0,0,0
PAYMENT,47.68307002789802,4418.155777855424,283.2021568439076,4370.472707827526,330.88522687180557,0.0,-47.683070027897884,47.683070027898,0.010790085804813646,0.9794589782561584,1,0,0,0,0,0,0
CASH_OUT,179.10292642235294,188.63975307387355,192.11375374681685,245.1110814058815,13.010827324463918,0.0,56.47132833200794,-179.10292642235294,0.9444376694193647,-0.9944476193704097,0,1,0,1,0,0,0
CASH_IN,261.5175215440552,1623.0635958989342,784.443231347802,1884.5811174429894,1045.9607528918573,0.0,261.51752154405517,261.5175215440553,0.1610266508063084,0.9961907304544161,0,0,0,0,0,0,0
CASH_OUT,208.6184130927708,1322.4645581866484,36824.08959263092,1113.8461450938776,36615.471179538144,0.0,-208.61841309277088,-208.61841309277224,0.15763052497500224,-0.9952294267223749,0,0,0,1,0,0,0
