annual_income,debt_to_income,credit_history_years,delinquencies,credit_utilization,employment_type,home_status,target
104441,0.154,16,0,0.211,salaried,rent,0
20417,0.228,15,1,0.452,salaried,rent,0
60570,0.367,8,0,0.237,salaried,family,0
73390,0.069,8,0,0.337,salaried,mortgage,0
38820,0.304,13,0,0.386,salaried,mortgage,0
33972,0.149,20,1,0.432,salaried,family,1
73210,0.322,19,0,0.454,self_employed,mortgage,0
91086,0.042,20,0,0.567,student,mortgage,0
44711,0.395,8,0,0.66,salaried,rent,1
86455,0.517,5,0,0.367,salaried,mortgage,1
65280,0.183,24,0,0.683,self_employed,rent,0
70948,0.243,5,0,0.44,salaried,own,0
49240,0.427,14,0,0.329,student,mortgage,0
88638,0.226,24,0,0.516,salaried,rent,0
62020,0.112,14,1,0.72,salaried,family,1
61142,0.37,8,1,0.278,contract,own,1
62530,0.139,13,0,0.756,contract,family,1
63737,0.159,20,0,0.243,student,own,0
109433,0.504,0,0,0.366,salaried,family,1
68750,0.275,22,1,0.214,salaried,mortgage,0
26657,0.028,5,0,0.854,salaried,rent,1
62332,0.133,19,0,0.288,contract,mortgage,1
73770,0.034,10,1,0.416,salaried,rent,0
82820,0.449,17,0,0.511,contract,own,1
117266,0.166,18,0,0.508,salaried,mortgage,0
47291,0.352,16,0,0.326,salaried,mortgage,0
45037,0.298,5,0,0.334,salaried,rent,0
57478,0.155,14,1,0.256,salaried,mortgage,0
52751,0.233,18,0,0.847,self_employed,rent,1
119517,0.108,12,0,0.502,salaried,own,0
80131,0.151,4,1,0.592,salaried,mortgage,0
74617,0.147,6,1,0.337,salaried,rent,1
77007,0.519,0,1,0.548,salaried,own,1
70827,0.167,8,0,0.134,contract,rent,0
62944,0.386,23,1,0.463,self_employed,rent,1
56887,0.272,9,0,0.326,contract,mortgage,0
49977,0.016,16,0,0.666,salaried,family,1
62698,0.223,3,0,0.514,salaried,rent,0
43016,0.137,23,1,0.296,salaried,rent,1
63298,0.236,11,0,0.311,student,mortgage,0
77718,0.127,24,1,0.81,self_employed,rent,0
64771,0.188,22,0,0.329,salaried,mortgage,0
107211,0.641,24,1,0.597,salaried,mortgage,0
90937,0.183,8,0,0.368,self_employed,mortgage,0
53011,0.279,23,1,0.518,contract,own,0
63740,0.353,22,1,0.168,salaried,rent,0
76297,0.259,10,0,0.356,salaried,own,0
15000,0.186,19,0,0.496,contract,rent,0
62163,0.258,23,0,0.438,salaried,own,0
62296,0.345,21,0,0.171,salaried,mortgage,0
61422,0.199,11,1,0.46,self_employed,family,0
76335,0.556,7,0,0.744,salaried,rent,1
63552,0.259,12,1,0.254,self_employed,rent,1
83191,0.114,4,0,0.331,salaried,family,0
64865,0.166,22,1,0.518,contract,rent,1
55593,0.077,3,0,0.512,salaried,mortgage,0
71138,0.185,6,1,0.283,salaried,own,0
78029,0.168,4,0,0.673,salaried,rent,1
70097,0.34,13,0,0.599,contract,rent,0
88237,0.301,13,0,0.385,salaried,own,0
104021,0.317,13,0,0.514,salaried,family,0
70415,0.041,20,1,0.473,contract,mortgage,0
60782,0.262,6,0,0.577,salaried,family,0
42919,0.684,14,0,0.531,salaried,rent,1
67246,0.377,21,1,0.248,salaried,mortgage,0
64292,0.374,5,0,0.414,salaried,rent,0
89690,0.342,22,0,0.019,salaried,family,0
67084,0.295,17,1,0.515,student,mortgage,1
47864,0.464,16,0,0.419,salaried,mortgage,1
63533,0.064,7,0,0.294,contract,mortgage,0
88935,0.213,11,0,0.453,contract,mortgage,0
80614,0.139,12,0,0.222,salaried,mortgage,0
87225,0.189,16,1,0.2,contract,rent,1
70481,0.151,2,0,0.248,salaried,rent,0
120676,0.251,2,0,0.396,salaried,rent,0
31499,0.094,9,0,0.615,student,mortgage,0
56258,0.439,18,0,0.514,contract,rent,1
95396,0.285,20,0,0.356,contract,mortgage,0
76391,0.394,10,1,0.453,salaried,own,1
90943,0.06,9,0,0.226,contract,own,0
69274,0.354,22,1,0.173,salaried,rent,0
62387,0.222,12,0,0.553,salaried,own,0
51175,0.274,5,0,0.682,salaried,family,1
88923,0.137,6,0,0.41,salaried,own,0
18524,0.234,1,1,0.262,salaried,own,1
70212,0.13,3,0,0.392,contract,mortgage,1
67608,0.378,9,0,0.705,salaried,family,0
107686,0.196,21,0,0.369,self_employed,own,0
55198,0.228,21,0,0.494,salaried,family,0
65940,0.294,0,0,0.688,student,rent,0
104020,0.278,0,1,0.618,salaried,mortgage,0
64156,0.122,19,2,0.583,salaried,rent,0
58978,0.318,12,1,0.423,salaried,family,0
91052,0.419,5,0,0.267,salaried,rent,0
22207,0.273,15,0,0.316,contract,mortgage,0
58739,0.112,5,0,0.908,salaried,family,1
46993,0.116,14,0,0.48,salaried,rent,0
97542,0.225,17,3,0.335,contract,mortgage,0
20737,0.263,20,1,0.406,self_employed,family,1
78162,0.27,8,0,0.26,salaried,rent,1
56874,0.224,22,0,0.685,salaried,rent,0
112829,0.418,17,2,0.208,salaried,rent,0
60606,0.206,18,0,0.57,salaried,rent,0
20893,0.231,1,1,0.418,salaried,mortgage,1
67539,0.245,19,0,0.599,contract,rent,0
55646,0.273,22,1,0.26,self_employed,rent,0
38133,0.185,1,0,0.318,salaried,own,1
26872,0.276,1,0,0.453,self_employed,rent,0
32260,0.346,10,0,0.524,salaried,mortgage,0
49013,0.058,7,0,0.718,salaried,rent,0
45482,0.109,3,0,0.225,salaried,own,0
75854,0.165,13,0,0.449,contract,rent,0
39974,0.34,3,0,0.594,contract,mortgage,0
41148,0.079,18,0,0.734,salaried,mortgage,0
54276,0.096,14,1,0.364,self_employed,rent,0
70395,0.288,3,0,0.387,salaried,own,0
50257,0.033,3,0,0.188,salaried,mortgage,0
40291,0.127,17,0,0.414,self_employed,rent,0
58835,0.272,17,0,0.164,contract,rent,0
52652,0.239,3,1,0.399,contract,rent,1
58673,0.16,4,0,0.316,self_employed,rent,0
111097,0.209,5,0,0.806,contract,rent,1
39939,0.166,19,1,0.142,salaried,own,1
64126,0.097,4,0,0.497,contract,family,0
78527,0.123,24,0,0.513,contract,rent,0
62405,0.58,1,0,0.436,contract,own,1
88315,0.1,12,0,0.473,student,mortgage,0
60330,0.169,22,1,0.284,salaried,own,0
36125,0.008,9,0,0.586,contract,mortgage,1
33618,0.448,19,0,0.247,salaried,rent,1
62104,0.37,1,1,0.359,salaried,mortgage,0
65429,0.117,11,1,0.272,self_employed,rent,0
59227,0.195,7,1,0.41,salaried,mortgage,0
36794,0.025,7,1,0.103,contract,family,1
74501,0.225,5,0,0.738,student,rent,0
66020,0.101,11,0,0.407,contract,own,0
85323,0.283,21,1,0.195,student,own,0
92806,0.332,17,0,0.704,salaried,mortgage,0
76733,0.066,8,1,0.249,salaried,mortgage,0
47487,0.175,6,0,0.389,salaried,rent,0
56401,0.418,17,1,0.412,contract,mortgage,1
29921,0.223,17,0,0.419,salaried,mortgage,1
49601,0.138,22,0,0.333,salaried,own,0
89954,0.265,3,0,0.44,salaried,rent,0
46348,0.15,17,1,0.304,salaried,rent,1
54071,0.22,23,0,0.564,contract,mortgage,0
72472,0.369,11,0,0.438,salaried,rent,1
37954,0.027,16,0,0.323,self_employed,family,0
97745,0.143,16,0,0.52,contract,mortgage,0
40219,0.288,8,1,0.351,student,family,1
59181,0.304,19,0,0.736,salaried,rent,0
78418,0.188,18,0,0.629,salaried,mortgage,0
77732,0.061,15,0,0.521,self_employed,rent,0
71139,0.317,14,0,0.406,salaried,mortgage,0
85225,0.068,3,0,0.491,self_employed,own,0
83197,0.147,10,1,0.526,self_employed,family,0
83190,0.195,23,0,0.419,student,rent,0
56158,0.516,19,0,0.669,salaried,rent,1
77873,0.173,15,0,0.132,self_employed,rent,0
52623,0.063,2,0,0.209,salaried,mortgage,1
88697,0.252,17,1,0.247,salaried,mortgage,0
44756,0.354,14,0,0.367,salaried,mortgage,0
40204,0.518,7,1,0.792,self_employed,rent,1
46651,0.061,12,0,0.882,salaried,mortgage,1
67417,0.185,0,1,0.568,salaried,rent,1
50230,0.24,17,0,0.427,salaried,mortgage,0
67967,0.658,0,0,0.401,contract,rent,1
58644,0.131,1,0,0.543,salaried,rent,0
85282,0.058,5,3,0.334,contract,mortgage,1
50810,0.224,17,1,0.485,salaried,rent,0
16239,0.113,20,0,0.29,student,mortgage,0
49970,0.46,23,0,0.823,salaried,own,1
69404,0.175,13,0,0.359,salaried,own,0
47883,0.394,21,0,0.269,salaried,rent,0
15000,0.218,2,0,0.436,salaried,rent,0
113725,0.253,3,0,0.207,salaried,own,0
50473,0.394,19,0,0.274,salaried,rent,0
46911,0.036,12,0,0.33,salaried,rent,1
70521,0.128,14,0,0.382,self_employed,rent,0
88324,0.289,12,0,0.403,contract,mortgage,0
81981,0.332,22,0,0.183,salaried,rent,0
62979,0.039,18,1,0.518,contract,mortgage,1
51780,0.088,8,0,0.34,self_employed,mortgage,0
57314,0.265,3,0,0.691,self_employed,mortgage,1
31504,0.239,16,1,0.479,salaried,mortgage,0
57630,0.321,16,0,0.568,self_employed,rent,0
66316,0.05,15,0,0.225,salaried,rent,0
48676,0.25,11,1,0.296,student,rent,0
75144,0.621,9,0,0.394,salaried,rent,1
82902,0.136,1,0,0.514,salaried,mortgage,0
56116,0.016,15,0,0.744,self_employed,rent,0
61361,0.223,12,1,0.281,salaried,own,0
95524,0.257,9,0,0.145,salaried,rent,0
50774,0.341,15,1,0.167,self_employed,mortgage,1
45783,0.552,14,0,0.164,self_employed,family,1
95785,0.352,20,3,0.257,salaried,rent,0
33994,0.178,22,2,0.312,salaried,mortgage,0
88062,0.421,17,0,0.354,self_employed,rent,1
87444,0.62,16,0,0.5,self_employed,family,1
67767,0.32,20,1,0.327,salaried,rent,0
59988,0.456,11,2,0.434,salaried,own,1
85019,0.36,19,0,0.551,salaried,rent,0
33922,0.202,20,0,0.399,self_employed,rent,0
57856,0.207,1,1,0.321,salaried,rent,0
51020,0.244,23,0,0.214,self_employed,mortgage,0
81871,0.313,13,0,0.095,salaried,rent,0
36267,0.177,9,1,0.53,salaried,family,1
81484,0.188,2,0,0.5,contract,mortgage,1
66688,0.06,5,0,0.21,salaried,own,0
23640,0.243,16,1,0.174,self_employed,rent,0
51250,0.393,7,1,0.667,salaried,mortgage,1
76283,0.313,3,1,0.169,self_employed,mortgage,1
33458,0.242,14,0,0.535,salaried,rent,0
83616,0.247,11,0,0.416,salaried,rent,0
66102,0.309,22,2,0.568,student,rent,0
75545,0.075,6,1,0.538,salaried,own,0
72710,0.241,6,1,0.601,salaried,mortgage,0
53433,0.198,13,1,0.711,salaried,family,1
63109,0.369,18,0,0.603,salaried,rent,0
70851,0.12,19,0,0.354,salaried,rent,0
65567,0.363,23,0,0.344,salaried,rent,0
53465,0.306,23,0,0.06,student,family,0
65796,0.19,16,0,0.355,contract,mortgage,0
55503,0.28,15,1,0.519,self_employed,family,0
95473,0.524,16,0,0.299,student,mortgage,1
52571,0.171,19,0,0.494,salaried,mortgage,0
85452,0.16,7,1,0.07,salaried,rent,0
123698,0.17,4,0,0.232,student,rent,0
53385,0.324,22,0,0.55,salaried,family,0
64779,0.281,17,0,0.634,contract,own,0
42037,0.404,1,0,0.643,self_employed,rent,0
63965,0.231,5,1,0.064,salaried,rent,0
75233,0.272,17,0,0.592,contract,mortgage,0
85000,0.545,0,0,0.466,contract,own,1
77767,0.043,24,1,0.469,self_employed,mortgage,0
82267,0.098,24,0,0.403,salaried,rent,0
38009,0.254,18,0,0.657,student,own,1
40756,0.273,15,0,0.427,salaried,rent,0
61109,0.199,0,0,0.291,self_employed,own,0
65877,0.07,20,0,0.386,salaried,own,0
65856,0.233,10,0,0.39,salaried,rent,0
107882,0.211,16,0,0.264,self_employed,rent,0
57427,0.05,16,0,0.405,salaried,mortgage,0
66833,0.463,10,3,0.28,salaried,rent,0
45767,0.153,16,0,0.515,salaried,family,0
82720,0.197,23,0,0.582,self_employed,own,0
22849,0.198,8,0,0.356,salaried,rent,0
51211,0.573,15,1,0.399,contract,mortgage,1
57374,0.044,23,0,0.488,self_employed,mortgage,0
59971,0.137,23,0,0.266,salaried,own,0
42271,0.109,2,1,0.256,student,rent,1
115704,0.08,13,1,0.367,contract,rent,1
59560,0.242,21,0,0.877,contract,own,1
72692,0.181,16,0,0.696,salaried,rent,0
92960,0.074,24,1,0.692,salaried,rent,0
97513,0.357,12,0,0.492,salaried,rent,0
28611,0.136,1,0,0.179,student,mortgage,0
15000,0.2,11,1,0.674,contract,mortgage,1
62510,0.348,19,0,0.63,salaried,mortgage,0
53771,0.28,9,1,0.298,salaried,mortgage,0
95187,0.146,14,1,0.224,self_employed,mortgage,0
61168,0.112,18,0,0.208,salaried,family,0
77656,0.325,2,0,0.564,salaried,mortgage,0
101986,0.154,12,0,0.231,salaried,rent,0
52966,0.275,1,1,0.252,self_employed,rent,0
42673,0.441,2,0,0.345,contract,mortgage,1
69391,0.114,2,1,0.634,student,rent,0
44178,0.111,8,0,0.589,salaried,rent,1
30620,0.219,6,0,0.428,salaried,mortgage,0
42177,0.264,21,0,0.202,salaried,own,0
61043,0.441,8,0,0.381,self_employed,mortgage,1
18968,0.169,17,1,0.392,self_employed,rent,0
33909,0.261,18,0,0.514,student,family,0
81036,0.323,23,0,0.349,salaried,mortgage,0
15000,0.197,10,0,0.464,student,mortgage,1
57507,0.089,16,1,0.628,salaried,rent,1
71551,0.495,20,1,0.485,salaried,rent,1
76946,0.357,20,0,0.33,salaried,own,0
68780,0.407,22,0,0.377,salaried,mortgage,0
52439,0.301,10,0,0.203,salaried,rent,0
59805,0.453,10,0,0.754,self_employed,family,1
15000,0.295,8,0,0.242,salaried,own,0
44257,0.171,15,1,0.604,self_employed,mortgage,1
92149,0.166,22,1,0.748,salaried,rent,1
57963,0.342,14,0,0.414,salaried,rent,0
66364,0.023,22,0,0.776,contract,rent,0
24743,0.386,15,0,0.28,student,mortgage,1
66939,0.104,2,1,0.169,contract,rent,0
57158,0.329,7,1,0.571,salaried,rent,0
45726,0.31,15,1,0.412,self_employed,mortgage,0
29106,0.141,11,0,0.485,contract,rent,0
66946,0.386,23,0,0.085,salaried,rent,0
58502,0.262,10,0,0.488,student,mortgage,0
94929,0.507,18,0,0.687,salaried,rent,1
82735,0.263,6,1,0.572,salaried,mortgage,0
65317,0.266,5,0,0.827,contract,mortgage,1
76384,0.212,4,0,0.585,student,rent,0
72446,0.513,8,0,0.777,salaried,rent,1
91897,0.387,19,0,0.577,salaried,mortgage,0
64225,0.21,12,1,0.448,salaried,own,0
89851,0.268,16,0,0.196,self_employed,rent,0
44007,0.441,14,0,0.437,contract,mortgage,1
33594,0.298,5,0,0.43,salaried,rent,0
81397,0.174,11,1,0.45,salaried,rent,0
53671,0.529,22,1,0.388,student,rent,1
64014,0.314,7,0,0.42,salaried,mortgage,0
64619,0.226,7,0,0.241,salaried,rent,0
89681,0.463,13,2,0.759,self_employed,rent,1
65961,0.15,1,0,0.419,salaried,rent,0
45420,0.225,1,0,0.527,salaried,rent,0
91667,0.233,13,1,0.277,salaried,rent,0
15000,0.12,21,0,0.351,salaried,own,0
47413,0.231,23,0,0.781,contract,rent,1
65469,0.21,23,0,0.304,self_employed,mortgage,0
43072,0.403,5,0,0.175,salaried,mortgage,1
69476,0.308,1,0,0.485,salaried,own,1
74407,0.226,15,0,0.693,salaried,own,1
88488,0.204,9,0,0.252,salaried,rent,0
44697,0.212,11,0,0.608,salaried,rent,0
76909,0.32,22,0,0.331,salaried,rent,0
82494,0.438,23,0,0.511,salaried,rent,1
26103,0.08,6,1,0.479,salaried,mortgage,1
83514,0.11,24,0,0.336,self_employed,mortgage,0
46076,0.093,1,0,0.536,salaried,family,0
50961,0.172,2,0,0.337,salaried,rent,0
49173,0.66,19,0,0.086,self_employed,rent,1
82507,0.162,24,2,0.238,contract,mortgage,0
75592,0.138,24,0,0.386,contract,rent,1
87939,0.311,9,0,0.508,self_employed,mortgage,0
78521,0.282,12,1,0.571,student,family,0
77481,0.26,15,0,0.603,self_employed,rent,0
29633,0.231,1,0,0.533,salaried,rent,0
89103,0.264,7,0,0.097,contract,rent,1
69288,0.169,16,0,0.597,salaried,rent,0
79280,0.262,10,2,0.36,student,family,0
90955,0.459,17,1,0.236,self_employed,rent,0
88547,0.491,24,0,0.596,self_employed,mortgage,0
68258,0.098,22,0,0.082,self_employed,mortgage,0
33389,0.209,19,1,0.704,contract,mortgage,1
91742,0.456,11,0,0.461,salaried,rent,1
32929,0.238,0,2,0.324,salaried,own,1
31414,0.36,23,0,0.449,salaried,rent,0
24745,0.116,5,0,0.357,contract,mortgage,1
66502,0.17,11,0,0.326,salaried,mortgage,0
66342,0.098,19,0,0.223,salaried,mortgage,0
60716,0.128,5,0,0.196,self_employed,family,0
66510,0.23,11,0,0.378,self_employed,own,0
107324,0.277,11,1,0.38,salaried,family,0
36468,0.302,20,1,0.381,salaried,rent,0
57339,0.426,10,0,0.159,contract,own,1
24858,0.439,11,0,0.373,contract,mortgage,1
19776,0.133,10,0,0.433,salaried,own,1
37051,0.13,8,0,0.326,salaried,rent,0
84133,0.31,17,1,0.252,salaried,rent,1
62419,0.167,17,0,0.511,student,rent,0
27144,0.028,24,0,0.296,contract,family,0
21288,0.36,11,0,0.429,contract,rent,0
95225,0.204,9,0,0.461,self_employed,rent,0
71922,0.116,8,0,0.132,salaried,mortgage,0
