policy_id,exposure,area,region,vehicle_power,vehicle_age,driver_age,bonus_malus,density,vehicle_brand,claim_count,claim_amount,annualized_loss_cost,material_loss_flag,renewal_period
POL100188,0.44,D,East,12,5.3,76,68,1083,B4,0,0.0,0.0,0,Current Year
POL100189,0.436,E,East,9,12.7,60,76,767,B6,0,0.0,0.0,0,Current Year
POL100190,0.391,C,Metro,7,14.0,50,63,1584,B2,0,0.0,0.0,0,Current Year
POL100191,0.675,A,West,11,7.1,42,88,1462,B5,0,0.0,0.0,0,Current Year
POL100192,0.279,F,South,6,3.0,44,82,463,B2,0,0.0,0.0,0,Current Year
POL100193,0.693,E,Metro,11,6.0,44,62,1603,B6,0,0.0,0.0,0,Current Year
POL100194,0.375,A,West,7,3.8,45,50,46,B4,0,0.0,0.0,0,Prior Year
POL100195,0.758,B,Coastal,6,14.1,51,57,274,B3,0,0.0,0.0,0,Prior Year
POL100196,0.266,C,East,4,13.7,74,50,60,B2,0,0.0,0.0,0,Current Year
POL100197,0.483,F,South,14,8.6,22,86,172,B5,0,0.0,0.0,1,Current Year
POL100198,0.954,A,South,8,16.1,45,50,790,B7,0,0.0,0.0,0,Prior Year
POL100199,0.654,F,Metro,7,10.6,42,50,366,B6,0,0.0,0.0,0,Current Year
POL100200,0.859,D,Metro,7,3.5,30,50,406,B7,0,0.0,0.0,0,Current Year
POL100201,0.744,C,Coastal,13,3.7,36,66,137,B7,0,0.0,0.0,0,Prior Year
POL100202,0.708,C,Central,8,3.9,30,78,623,B1,0,0.0,0.0,0,Current Year
POL100203,0.393,D,North,12,10.9,48,78,278,B4,0,0.0,0.0,0,Current Year
POL100204,0.681,B,East,13,0.4,47,107,8778,B6,0,0.0,0.0,1,Current Year
POL100205,0.28,B,West,5,7.3,46,56,372,B4,0,0.0,0.0,0,Current Year
POL100206,0.851,E,North,8,25.0,27,67,1154,B1,0,0.0,0.0,1,Prior Year
POL100207,0.97,B,Metro,7,14.0,18,73,2347,B7,0,0.0,0.0,1,Prior Year
POL100208,0.891,E,Metro,8,7.0,53,69,193,B4,0,0.0,0.0,0,Prior Year
POL100209,0.288,B,Coastal,10,5.1,23,71,948,B3,0,0.0,0.0,1,Prior Year
POL100210,0.504,D,Central,6,4.6,61,78,110,B3,0,0.0,0.0,0,Current Year
POL100211,0.489,A,South,12,6.4,58,96,2920,B2,0,0.0,0.0,1,Prior Year
POL100212,0.335,C,North,11,7.8,24,74,771,B1,0,0.0,0.0,1,Current Year
POL100213,0.72,C,Metro,7,8.4,44,65,583,B2,0,0.0,0.0,0,Current Year
POL100214,0.848,E,East,8,7.9,18,115,230,B4,1,20955.7,24709.18,1,Prior Year
POL100215,0.485,D,Coastal,7,13.3,32,76,135,B7,0,0.0,0.0,0,Prior Year
POL100216,0.897,D,Metro,8,16.4,64,59,665,B2,0,0.0,0.0,0,Current Year
POL100217,0.848,B,North,11,11.0,57,86,34,B3,0,0.0,0.0,0,Prior Year
POL100218,0.347,E,West,8,8.1,73,51,356,B6,0,0.0,0.0,0,Prior Year
POL100219,0.825,E,South,9,8.3,18,59,455,B4,0,0.0,0.0,0,Current Year
POL100220,0.912,C,South,8,7.6,67,109,108,B3,0,0.0,0.0,0,Current Year
POL100221,0.398,D,North,4,2.4,48,95,1399,B2,0,0.0,0.0,0,Current Year
POL100222,0.68,B,South,10,5.5,45,50,88,B4,0,0.0,0.0,0,Prior Year
POL100223,0.729,B,South,9,1.2,35,108,169,B5,2,4744.39,6507.52,0,Current Year
POL100224,0.707,C,Metro,7,16.8,41,51,335,B7,0,0.0,0.0,0,Current Year
POL100225,0.322,C,North,10,9.1,55,97,1951,B1,0,0.0,0.0,0,Current Year
POL100226,0.746,A,Metro,9,5.5,49,50,758,B3,0,0.0,0.0,0,Current Year
POL100227,0.724,E,West,10,8.7,19,112,31,B6,1,4332.41,5984.27,1,Current Year
POL100228,0.868,D,South,9,6.5,37,65,229,B3,0,0.0,0.0,0,Current Year
POL100229,0.853,B,West,9,3.4,18,77,103,B2,0,0.0,0.0,0,Prior Year
POL100230,0.495,F,West,14,9.2,47,102,838,B6,1,9704.04,19589.24,1,Prior Year
POL100231,0.792,C,South,13,2.7,32,78,90,B3,0,0.0,0.0,0,Prior Year
POL100232,0.9,C,North,10,13.3,46,107,224,B6,0,0.0,0.0,1,Prior Year
POL100233,0.92,E,Metro,12,11.7,18,81,1978,B1,1,13675.89,14869.77,1,Prior Year
POL100234,0.371,A,Coastal,8,13.4,47,50,835,B5,0,0.0,0.0,0,Prior Year
POL100235,0.27,A,North,7,3.3,22,50,1317,B1,0,0.0,0.0,0,Current Year
POL100236,0.738,F,East,10,6.6,48,127,188,B1,1,15340.16,20783.15,1,Current Year
POL100237,0.411,A,South,4,4.3,47,78,1593,B2,0,0.0,0.0,0,Current Year
POL100238,0.673,C,West,10,3.5,70,77,459,B6,0,0.0,0.0,0,Current Year
POL100239,0.959,F,South,12,9.4,21,106,637,B4,2,166130.92,173305.16,1,Current Year
POL100240,0.534,B,South,5,12.4,74,99,2641,B3,0,0.0,0.0,1,Prior Year
POL100241,0.44,F,Central,9,17.8,56,61,176,B1,0,0.0,0.0,0,Current Year
POL100242,0.592,B,West,8,4.7,61,63,318,B6,0,0.0,0.0,0,Current Year
POL100243,0.743,E,North,9,17.4,23,80,5142,B2,0,0.0,0.0,1,Prior Year
POL100244,0.326,A,North,4,11.5,44,97,1194,B4,0,0.0,0.0,0,Current Year
POL100245,0.535,C,West,8,8.7,27,73,407,B2,0,0.0,0.0,0,Prior Year
POL100246,0.35,F,North,8,3.8,56,62,1237,B4,1,1101.63,3144.89,0,Current Year
POL100247,0.747,E,South,5,7.2,58,122,1154,B5,0,0.0,0.0,1,Current Year
POL100248,0.873,D,West,4,13.1,51,153,2944,B1,0,0.0,0.0,1,Prior Year
POL100249,0.533,C,Coastal,6,17.9,59,51,1031,B2,0,0.0,0.0,0,Prior Year
POL100250,0.529,E,West,9,18.0,44,109,113,B4,0,0.0,0.0,0,Prior Year
POL100251,0.655,D,Metro,8,8.6,40,84,893,B6,0,0.0,0.0,1,Current Year
POL100252,0.411,B,Metro,10,8.7,43,63,470,B1,0,0.0,0.0,0,Current Year
POL100253,0.436,D,East,4,7.4,32,97,1441,B1,0,0.0,0.0,1,Prior Year
POL100254,0.497,E,East,7,9.0,53,73,110,B5,0,0.0,0.0,0,Current Year
POL100255,0.593,D,East,6,2.9,33,97,1236,B6,0,0.0,0.0,1,Prior Year
POL100256,0.311,B,South,10,7.0,76,58,2109,B7,0,0.0,0.0,0,Current Year
POL100257,0.815,C,East,4,18.0,53,81,167,B5,0,0.0,0.0,0,Prior Year
POL100258,0.684,B,East,12,8.5,19,87,394,B3,0,0.0,0.0,0,Prior Year
POL100259,0.475,C,West,11,1.3,18,123,426,B1,0,0.0,0.0,1,Current Year
POL100260,0.308,C,South,5,0.9,19,50,35,B1,0,0.0,0.0,0,Prior Year
POL100261,0.822,E,Metro,9,3.0,35,51,148,B2,0,0.0,0.0,0,Prior Year
POL100262,0.348,D,North,13,8.8,50,90,527,B6,0,0.0,0.0,0,Prior Year
POL100263,0.35,B,West,6,17.9,47,61,682,B2,0,0.0,0.0,0,Current Year
POL100264,0.348,E,North,15,6.5,47,87,139,B7,0,0.0,0.0,0,Prior Year
POL100265,0.311,D,West,12,2.1,20,84,196,B1,0,0.0,0.0,1,Current Year
POL100266,0.93,B,South,15,10.1,63,91,201,B1,0,0.0,0.0,0,Current Year
POL100267,0.452,D,West,8,25.0,63,96,873,B7,0,0.0,0.0,1,Current Year
POL100268,0.48,A,Central,8,9.7,56,95,634,B6,0,0.0,0.0,0,Current Year
POL100269,0.875,B,South,11,3.8,48,59,53,B4,0,0.0,0.0,0,Current Year
POL100270,0.715,B,South,7,1.1,48,97,105,B1,0,0.0,0.0,0,Current Year
POL100271,0.39,E,Metro,5,14.1,39,111,1222,B7,0,0.0,0.0,1,Current Year
POL100272,0.576,B,Coastal,5,8.2,45,61,3032,B2,0,0.0,0.0,0,Current Year
POL100273,0.913,B,West,7,6.0,39,50,430,B1,0,0.0,0.0,0,Current Year
POL100274,0.532,C,South,7,25.0,70,80,158,B3,0,0.0,0.0,0,Prior Year
POL100275,0.783,C,Central,10,10.8,35,102,1408,B5,0,0.0,0.0,0,Current Year
POL100276,0.323,B,Coastal,7,12.7,27,82,183,B3,0,0.0,0.0,0,Current Year
POL100277,0.795,C,West,6,2.8,64,50,1217,B1,0,0.0,0.0,0,Current Year
POL100278,0.832,F,Metro,7,6.1,53,61,430,B4,0,0.0,0.0,1,Prior Year
POL100279,0.869,C,Metro,8,5.9,71,89,327,B2,0,0.0,0.0,0,Current Year
POL100280,0.756,E,Metro,8,11.8,24,61,174,B2,0,0.0,0.0,1,Prior Year
POL100281,0.528,E,Coastal,8,12.8,61,58,643,B7,0,0.0,0.0,0,Prior Year
POL100282,0.298,B,South,10,5.3,68,50,573,B1,0,0.0,0.0,0,Current Year
POL100283,0.639,C,Central,7,25.0,30,50,1635,B4,0,0.0,0.0,0,Current Year
POL100284,0.818,C,Central,15,5.1,47,92,863,B5,0,0.0,0.0,1,Prior Year
POL100285,0.393,E,West,10,5.2,41,61,1961,B6,0,0.0,0.0,0,Current Year
POL100286,0.45,D,Central,9,2.4,18,72,105,B5,0,0.0,0.0,0,Prior Year
POL100287,0.652,D,East,12,1.2,80,67,126,B4,0,0.0,0.0,0,Current Year
POL100288,0.811,E,North,9,20.2,44,82,161,B7,1,25778.91,31776.83,0,Prior Year
POL100289,0.922,A,Central,13,4.9,28,102,1535,B1,1,2643.19,2865.43,0,Current Year
POL100290,0.344,A,Coastal,8,8.9,62,50,979,B1,0,0.0,0.0,0,Prior Year
POL100291,0.388,C,Central,12,18.9,70,50,379,B7,0,0.0,0.0,0,Current Year
POL100292,0.85,D,Central,5,6.6,23,50,846,B2,0,0.0,0.0,0,Current Year
POL100293,0.733,D,Metro,14,5.8,40,70,669,B2,0,0.0,0.0,0,Current Year
POL100294,0.791,E,East,15,8.7,50,61,122,B4,0,0.0,0.0,0,Current Year
POL100295,0.998,B,East,7,0.3,48,73,431,B3,0,0.0,0.0,0,Current Year
