age,tenure_months,monthly_charge,support_tickets,contract_type,auto_pay,region,target
52,42,80.03,0,month_to_month,yes,south,0
73,31,116.22,1,two_year,yes,north,0
35,65,113.68,3,month_to_month,yes,south,1
30,31,135.69,1,month_to_month,yes,west,1
63,55,35.16,0,one_year,yes,north,0
60,66,109.03,1,month_to_month,yes,east,0
38,9,32.63,3,month_to_month,no,north,1
63,19,81.27,1,two_year,yes,north,0
55,26,144.74,3,one_year,yes,north,0
75,12,66.36,1,one_year,yes,south,0
47,49,30.79,0,month_to_month,yes,west,0
56,40,108.98,1,month_to_month,no,north,0
31,37,82.21,1,one_year,yes,west,0
61,40,64.71,2,two_year,no,east,0
51,31,86.68,2,one_year,no,north,0
51,13,85.53,2,one_year,yes,south,0
68,71,155.72,1,month_to_month,no,north,0
59,46,150.49,0,month_to_month,no,east,1
45,18,56.85,0,month_to_month,yes,east,1
54,4,95.85,1,month_to_month,yes,south,1
40,68,37.79,3,one_year,yes,south,0
46,68,69.83,1,one_year,no,south,0
64,42,95.15,0,two_year,no,west,0
58,52,53.6,0,one_year,yes,north,0
32,22,92.0,2,two_year,yes,north,0
30,23,75.7,1,month_to_month,no,east,1
55,63,63.37,3,month_to_month,yes,west,0
32,43,81.97,6,month_to_month,yes,north,0
56,53,147.62,2,one_year,yes,north,0
36,5,119.87,1,one_year,no,east,1
18,30,22.59,0,one_year,yes,north,0
44,15,53.69,3,one_year,no,north,1
62,30,96.98,1,two_year,yes,north,0
23,56,128.63,2,month_to_month,yes,east,1
18,59,147.86,1,two_year,yes,east,0
23,46,128.32,3,month_to_month,yes,west,1
63,25,93.24,1,month_to_month,no,south,1
36,14,81.32,2,month_to_month,yes,east,1
75,49,31.04,1,month_to_month,yes,south,0
61,66,52.78,0,two_year,no,east,0
36,50,34.97,1,month_to_month,no,west,1
33,43,45.61,2,month_to_month,yes,west,0
28,6,44.63,3,one_year,yes,north,0
53,30,66.25,2,two_year,yes,east,0
48,53,79.8,0,one_year,yes,west,0
61,39,115.34,0,month_to_month,no,north,1
45,68,33.58,1,month_to_month,no,north,0
55,62,88.9,1,month_to_month,no,west,0
43,60,88.45,1,month_to_month,yes,south,0
44,2,49.12,1,two_year,no,north,0
40,11,64.79,2,month_to_month,yes,north,1
47,7,50.88,0,one_year,no,west,0
34,48,68.49,4,month_to_month,yes,east,0
18,19,79.62,2,month_to_month,yes,north,0
23,67,79.51,1,month_to_month,yes,south,0
46,53,142.43,1,month_to_month,yes,south,0
61,55,60.45,0,one_year,yes,east,0
33,48,28.88,2,month_to_month,no,east,1
51,45,82.43,4,month_to_month,yes,west,0
33,54,99.87,3,one_year,yes,west,0
55,60,82.23,2,one_year,no,south,0
19,23,56.85,2,two_year,yes,south,0
23,11,108.89,3,one_year,no,east,0
73,39,88.77,2,month_to_month,yes,north,1
39,62,66.49,1,month_to_month,yes,east,1
48,68,129.48,3,month_to_month,yes,east,1
72,17,48.71,3,month_to_month,yes,south,1
53,21,52.99,0,month_to_month,no,south,1
59,16,159.02,3,month_to_month,no,west,1
28,61,92.9,2,month_to_month,yes,south,0
52,66,42.06,2,one_year,yes,west,0
49,17,41.92,2,month_to_month,no,east,1
54,67,81.57,4,two_year,no,south,0
54,42,69.67,1,month_to_month,no,south,1
46,69,114.2,2,month_to_month,yes,south,0
56,15,41.95,1,month_to_month,yes,east,0
67,0,81.46,1,month_to_month,yes,south,1
56,32,78.33,1,one_year,no,south,0
72,33,93.74,4,one_year,yes,west,0
25,50,137.16,3,two_year,yes,south,0
58,44,115.54,3,month_to_month,yes,north,1
58,38,78.67,1,month_to_month,yes,west,0
34,12,67.26,4,two_year,no,south,1
43,45,43.75,0,month_to_month,yes,south,0
23,31,63.9,1,one_year,yes,north,0
18,10,59.31,3,one_year,no,east,0
48,27,57.75,2,two_year,yes,south,0
54,9,53.08,2,month_to_month,yes,north,1
50,51,45.21,4,one_year,no,east,0
35,1,70.13,2,two_year,yes,north,0
48,33,46.26,0,month_to_month,yes,south,1
50,58,101.56,2,one_year,yes,west,0
63,30,36.88,1,month_to_month,no,east,1
72,59,41.05,0,month_to_month,no,south,0
54,43,53.55,1,month_to_month,no,east,1
46,27,189.74,1,month_to_month,yes,south,1
71,12,45.19,1,month_to_month,yes,west,1
65,42,126.01,0,month_to_month,no,east,1
56,35,50.79,2,month_to_month,no,south,0
41,15,122.23,1,month_to_month,no,east,1
36,18,48.01,5,month_to_month,no,north,1
54,68,48.08,1,one_year,no,north,0
64,6,106.83,2,one_year,yes,north,0
22,18,101.33,1,month_to_month,yes,north,0
63,35,26.78,0,two_year,no,west,0
37,32,62.39,1,one_year,yes,west,0
73,63,103.74,4,one_year,yes,north,0
37,10,82.69,2,month_to_month,yes,south,0
42,32,74.58,2,month_to_month,no,east,1
59,51,33.36,1,one_year,yes,west,0
33,47,51.36,2,one_year,no,east,1
29,66,174.72,1,one_year,yes,north,0
39,17,68.38,2,month_to_month,no,west,1
71,55,76.95,2,two_year,yes,south,0
35,18,22.15,2,one_year,yes,south,0
40,6,56.76,2,month_to_month,yes,north,1
41,70,56.9,1,month_to_month,no,south,0
28,41,43.8,3,month_to_month,no,north,1
43,9,72.68,3,one_year,yes,south,1
70,70,90.45,3,one_year,no,west,0
32,56,80.04,0,two_year,no,west,0
50,7,64.41,1,month_to_month,no,south,0
73,70,107.96,4,one_year,no,south,0
54,45,106.03,1,two_year,no,east,0
71,65,73.92,1,month_to_month,yes,west,0
67,38,30.85,1,month_to_month,no,south,0
72,11,50.36,5,month_to_month,yes,north,1
40,39,60.8,0,month_to_month,yes,east,1
30,60,108.02,0,one_year,no,south,0
60,7,44.94,0,month_to_month,yes,south,0
75,46,44.76,2,month_to_month,no,south,0
47,57,30.56,2,month_to_month,yes,south,0
61,42,72.01,0,month_to_month,no,west,1
67,20,92.97,0,month_to_month,yes,south,1
75,49,71.47,1,month_to_month,yes,west,0
73,22,112.55,0,month_to_month,no,north,0
22,62,105.93,2,two_year,no,south,0
48,19,131.62,1,one_year,yes,north,0
71,44,84.38,0,two_year,yes,east,0
31,67,74.78,0,two_year,no,west,0
40,29,102.62,3,one_year,yes,east,0
21,55,80.15,1,one_year,yes,south,0
21,62,66.66,2,one_year,yes,south,0
39,45,99.59,0,month_to_month,yes,east,0
35,0,31.5,0,one_year,no,south,0
53,2,60.91,4,two_year,yes,east,0
50,30,57.12,2,two_year,yes,south,0
72,52,56.19,2,month_to_month,yes,south,0
36,16,47.66,1,month_to_month,yes,west,0
55,3,45.04,2,month_to_month,yes,east,0
56,18,62.99,0,two_year,no,west,0
25,12,82.22,0,two_year,no,west,1
26,20,95.14,1,month_to_month,yes,south,1
44,25,104.71,1,one_year,yes,south,0
69,64,84.38,3,one_year,yes,west,0
18,39,164.65,0,one_year,no,north,0
38,11,49.5,5,two_year,yes,east,0
35,26,56.64,2,one_year,yes,west,0
21,42,35.5,2,month_to_month,no,east,1
31,20,111.98,1,month_to_month,yes,north,1
59,50,69.14,4,month_to_month,no,north,1
74,18,91.33,0,month_to_month,no,west,1
20,4,64.1,0,month_to_month,yes,south,1
42,65,86.56,2,month_to_month,yes,south,0
40,69,32.02,1,month_to_month,yes,north,0
36,38,96.35,2,month_to_month,no,north,0
53,68,67.42,2,month_to_month,yes,south,0
35,9,34.57,2,month_to_month,yes,north,1
40,23,72.62,1,month_to_month,no,west,1
57,56,97.53,1,month_to_month,yes,south,0
39,17,190.39,3,two_year,yes,west,0
66,28,150.91,1,month_to_month,no,north,1
25,29,103.53,1,month_to_month,yes,north,0
67,14,45.54,0,month_to_month,yes,north,0
62,65,41.55,0,one_year,yes,east,0
70,61,94.91,0,one_year,no,south,0
29,25,75.13,4,one_year,no,north,1
73,9,22.57,1,month_to_month,yes,south,1
73,44,96.68,1,month_to_month,yes,east,0
48,24,44.49,1,two_year,yes,south,0
41,70,99.58,2,one_year,yes,west,0
21,13,35.66,2,two_year,yes,north,0
66,28,50.52,2,month_to_month,no,south,1
26,32,93.29,2,month_to_month,no,west,1
33,14,96.0,3,month_to_month,no,east,1
20,16,41.47,2,one_year,no,south,0
68,28,73.71,2,two_year,no,east,0
67,22,47.07,1,month_to_month,no,north,1
25,7,35.7,3,two_year,no,west,0
38,2,132.99,2,month_to_month,no,north,1
28,61,35.53,5,month_to_month,yes,south,1
55,56,57.8,4,one_year,yes,east,0
25,50,92.77,3,month_to_month,no,west,1
31,71,111.22,1,month_to_month,yes,south,0
45,37,105.18,1,two_year,no,south,1
25,49,92.62,1,month_to_month,yes,south,1
19,36,150.95,4,one_year,yes,north,0
24,4,57.15,0,month_to_month,yes,north,0
19,18,69.79,2,month_to_month,no,east,1
63,37,102.83,0,month_to_month,no,east,1
72,29,41.26,1,one_year,yes,north,0
54,38,58.0,3,one_year,no,west,1
45,16,86.62,1,one_year,yes,south,0
46,51,29.01,0,two_year,no,east,0
45,49,91.88,2,month_to_month,yes,south,0
19,4,101.54,0,one_year,no,east,0
44,70,37.76,1,one_year,yes,south,0
34,60,39.28,0,month_to_month,no,east,1
53,0,196.9,1,month_to_month,yes,east,1
72,47,65.59,0,one_year,no,west,0
26,10,41.29,2,month_to_month,yes,west,1
55,69,48.44,2,one_year,no,west,0
47,6,33.53,0,month_to_month,yes,south,1
25,5,110.55,2,month_to_month,yes,north,1
72,8,92.3,1,month_to_month,yes,west,1
18,18,83.42,1,one_year,yes,south,0
42,61,95.92,5,month_to_month,yes,north,0
70,61,50.7,2,two_year,no,east,0
28,55,79.48,1,month_to_month,yes,south,1
61,9,136.76,2,month_to_month,no,north,1
55,22,77.36,2,month_to_month,yes,north,0
43,36,77.47,2,month_to_month,no,west,1
39,2,91.48,1,one_year,yes,west,1
57,64,129.42,2,one_year,no,west,0
68,38,85.14,2,month_to_month,no,north,1
23,22,51.82,1,month_to_month,no,north,1
53,0,88.15,0,month_to_month,yes,north,1
53,34,138.55,1,month_to_month,yes,north,1
36,23,61.17,1,month_to_month,yes,east,0
28,62,38.32,0,two_year,yes,east,0
30,32,98.21,4,month_to_month,yes,south,0
41,27,79.8,2,one_year,yes,north,0
61,64,100.49,3,one_year,yes,north,0
54,69,197.01,1,two_year,yes,west,0
53,43,99.22,1,month_to_month,yes,north,0
61,4,46.54,1,month_to_month,no,west,1
54,2,48.74,1,month_to_month,yes,north,0
50,33,61.24,2,two_year,yes,south,0
26,49,82.05,1,month_to_month,no,south,1
75,49,35.99,1,two_year,yes,south,0
67,37,23.74,2,month_to_month,no,north,1
73,68,85.5,2,month_to_month,yes,north,0
31,4,100.08,2,month_to_month,no,east,1
61,46,70.11,2,month_to_month,yes,east,0
18,2,90.5,1,two_year,yes,east,1
38,20,95.5,2,month_to_month,no,north,1
56,49,128.13,1,one_year,yes,north,0
48,61,39.53,2,one_year,no,west,0
18,26,132.98,2,one_year,yes,south,0
51,54,47.02,2,one_year,yes,north,0
45,20,80.49,2,month_to_month,no,east,1
20,46,83.82,1,one_year,yes,east,0
47,66,124.79,0,one_year,yes,east,0
53,7,64.98,2,one_year,yes,north,0
30,9,61.47,1,one_year,no,east,1
28,23,79.23,0,one_year,yes,east,0
60,46,27.07,1,one_year,yes,east,0
64,13,51.22,3,month_to_month,yes,west,1
45,16,29.68,1,one_year,yes,south,0
57,22,42.64,1,month_to_month,no,south,1
43,31,56.04,0,month_to_month,yes,east,0
50,21,94.57,1,month_to_month,no,south,1
52,69,163.91,0,one_year,yes,north,0
35,56,186.09,0,month_to_month,no,east,1
42,38,53.99,1,one_year,yes,east,0
39,68,50.86,3,month_to_month,yes,east,0
71,34,48.21,1,month_to_month,yes,west,1
69,30,151.74,1,one_year,yes,west,0
72,24,93.5,1,month_to_month,no,south,1
20,26,78.41,1,month_to_month,no,south,1
27,47,108.28,1,month_to_month,yes,south,0
45,63,108.48,1,month_to_month,yes,west,0
31,1,62.94,0,one_year,yes,south,0
68,59,35.33,1,one_year,yes,north,0
20,68,54.23,1,month_to_month,no,east,0
72,53,45.59,6,month_to_month,no,south,1
55,24,71.02,2,one_year,yes,north,0
54,27,23.23,2,one_year,yes,east,0
49,20,152.35,1,month_to_month,no,south,1
55,6,40.91,0,two_year,no,south,0
64,5,41.04,2,one_year,no,south,1
72,11,55.22,0,month_to_month,no,north,1
37,18,31.63,2,one_year,yes,west,0
53,22,95.73,3,month_to_month,yes,north,1
